	Pixel	NPB	AlQ3	LiQ	Al
0	A1	449.64528225	558.151758739255	11.214712665847665	1576.6972542774192
1	A2	448.01094280045874	568.8279765042979	11.112255663390663	1557.9381575032257
2	A3	446.37660335091743	579.5041942693409	11.00979866093366	1539.179060729032
3	A4	444.74226390137613	590.180412034384	10.907341658476659	1520.4199639548387
4	A5	443.10792445183483	600.8566297994269	10.804884656019656	1501.660867180645
5	B1	484.27313546100913	571.0508991404012	10.597218808353807	1359.682080083871
6	B2	482.6387960114679	581.7271169054441	10.494761805896804	1340.9229833096772
7	B3	481.00445656192665	592.4033346704871	10.392304803439801	1322.163886535484
8	B4	479.3701171123853	603.07955243553	10.2898478009828	1303.4047897612902
9	B5	477.73577766284404	613.7557702005731	10.187390798525797	1284.6456929870967
10	C1	527.416034543578	587.1219593123209	9.827882199017198	1089.3025187935484
11	C2	525.7816950940366	597.7981770773638	9.725425196560197	1070.5434220193547
12	C3	524.1473556444953	608.4743948424069	9.622968194103194	1051.7843252451612
13	C4	522.513016194954	619.1506126074498	9.520511191646191	1033.025228470968
14	C5	520.8786767454128	629.8268303724927	9.418054189189188	1014.2661316967742
15	D1	562.0438877545872	600.021099713467	9.210388341523341	872.2873446000001
16	D2	560.4095483050459	610.69731747851	9.107931339066338	853.5282478258065
17	D3	558.7752088555046	621.373535243553	9.005474336609335	834.7691510516129
18	D4	557.1408694059633	632.049753008596	8.903017334152333	816.0100542774194
19	D5	555.5065299564219	642.725970773639	8.80056033169533	797.2509575032258
