	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Source Power: CBP	Source Power: TxOPhCz	Thickness: CBP	Thickness: TxOPhCz	State: CBP	State: TxOPhCz	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz
0	17:11:07	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	1	000.000	000.000
1	17:11:07	-0.000	-0.000	0.280	0.046	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
2	17:11:08	-0.000	-0.000	0.680	0.138	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
3	17:11:10	0.000	-0.000	1.080	0.229	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
4	17:11:11	0.001	-0.000	1.480	0.321	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
5	17:11:11	0.001	-0.000	1.880	0.412	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
6	17:11:13	0.000	-0.001	2.280	0.504	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
7	17:11:14	0.000	-0.000	2.680	0.596	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
8	17:11:14	0.001	-0.000	3.080	0.687	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
9	17:11:15	0.000	-0.000	3.480	0.779	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
10	17:11:17	-0.001	-0.000	3.880	0.871	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
11	17:11:17	0.001	-0.000	4.280	0.962	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
12	17:11:18	0.000	-0.001	4.680	1.054	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
13	17:11:19	0.000	-0.001	5.080	1.146	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
14	17:11:20	0.001	-0.001	5.480	1.238	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
15	17:11:21	0.000	-0.001	5.880	1.329	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
16	17:11:22	0.001	-0.000	6.280	1.421	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
17	17:11:23	0.000	-0.001	6.680	1.513	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
18	17:11:25	0.001	-0.000	7.080	1.604	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
19	17:11:26	0.001	-0.000	7.480	1.696	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
20	17:11:26	0.001	0.000	7.880	1.788	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
21	17:11:28	-0.002	-0.001	8.280	1.879	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
22	17:11:29	0.000	-0.001	8.680	1.971	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
23	17:11:29	0.001	-0.001	9.080	2.063	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
24	17:11:31	0.001	-0.001	9.480	2.154	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
25	17:11:31	-0.001	-0.000	9.880	2.246	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
26	17:11:32	0.001	-0.001	10.280	2.338	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
27	17:11:34	0.000	-0.001	10.680	2.429	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
28	17:11:35	0.001	-0.001	11.080	2.521	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
29	17:11:35	-0.001	-0.001	11.480	2.613	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
30	17:11:36	0.000	-0.000	11.880	2.704	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
31	17:11:38	0.000	-0.001	12.000	2.796	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
32	17:11:38	0.001	-0.000	12.000	2.888	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
33	17:11:40	-0.001	-0.001	12.000	2.979	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
34	17:11:40	-0.001	-0.001	12.000	3.071	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
35	17:11:41	0.001	-0.001	12.000	3.163	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
36	17:11:43	-0.001	0.000	12.000	3.254	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
37	17:11:43	0.001	-0.000	12.000	3.346	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
38	17:11:44	-0.001	-0.001	12.000	3.438	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
39	17:11:46	-0.001	-0.000	12.000	3.529	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
40	17:11:47	-0.001	-0.001	12.000	3.621	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
41	17:11:47	0.000	-0.001	12.000	3.713	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
42	17:11:48	-0.000	-0.001	12.000	3.804	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
43	17:11:49	0.001	-0.001	12.000	3.896	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
44	17:11:50	0.000	-0.000	12.000	3.988	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
45	17:11:51	-0.000	-0.000	12.000	4.079	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
46	17:11:53	0.001	-0.000	12.000	4.171	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
47	17:11:53	-0.000	-0.001	12.000	4.263	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
48	17:11:54	-0.000	-0.001	12.000	4.354	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
49	17:11:56	0.000	-0.001	12.000	4.446	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
50	17:11:56	0.000	-0.001	12.000	4.538	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
51	17:11:57	0.000	-0.001	12.000	4.629	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
52	17:11:58	0.000	-0.001	12.000	4.721	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
53	17:11:59	0.000	-0.001	12.000	4.813	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
54	17:12:01	-0.000	-0.001	12.000	4.904	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
55	17:12:02	-0.000	-0.001	12.000	4.996	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
56	17:12:02	-0.000	-0.001	12.000	5.088	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
57	17:12:03	-0.000	-0.001	12.000	5.179	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
58	17:12:04	0.000	-0.001	12.000	5.271	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
59	17:12:05	0.001	-0.000	12.000	5.363	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
60	17:12:07	0.000	-0.001	12.000	5.454	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
61	17:12:08	0.000	-0.001	12.000	5.546	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
62	17:12:08	0.000	-0.001	12.000	5.638	0.000	-0.000	PreCon Soak	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
