	Pixel	HATCN	TAPC	CBP	TxOPhCz	B3PYMPM	LiQ	Al
0	A1	112.0053847217235	262.45831928125	152.90369091881445	47.053228810020876	445.0640606837607	11.214712665847665	1779.6773825274195
1	A2	109.6272518671454	271.56894428124997	156.28564968170102	45.31460668058455	462.423035042735	11.112255663390663	1758.5032857532258
2	A3	107.2491190125673	280.67956928125	159.66760844458764	43.575984551148224	479.7820094017094	11.00979866093366	1737.3291889790323
3	A4	104.87098615798922	289.79019428125	163.0495672074742	41.837362421711894	497.1409837606837	10.907341658476659	1716.1550922048389
4	A5	102.49285330341112	298.90081928125	166.43152597036084	40.09874029227557	514.4999581196581	10.804884656019656	1694.9809954306452
5	B1	106.90963965888689	274.26181928125	154.67379143427834	44.608134864300624	457.6290179487179	10.597218808353807	1534.724208333871
6	B2	104.53150680430879	283.37244428124995	158.05575019716497	42.8695127348643	474.9879923076923	10.494761805896804	1513.5501115596774
7	B3	102.15337394973069	292.48306928125	161.43770896005154	41.13089060542797	492.3469666666667	10.392304803439801	1492.376014785484
8	B4	99.7752410951526	301.59369428124995	164.81966772293814	39.39226847599165	509.705941025641	10.2898478009828	1471.2019180112904
9	B5	97.3971082405745	310.70431928125	168.20162648582476	37.65364634655533	527.0649153846153	10.187390798525797	1450.027821237097
10	C1	100.5608425314183	288.96781928124994	156.87916256829897	41.561788308977036	473.28371880341876	9.827882199017198	1229.5366470435486
11	C2	98.1827096768402	298.07844428125	160.26112133118556	39.82316617954071	490.6426931623932	9.725425196560197	1208.3625502693549
12	C3	95.8045768222621	307.18906928124994	163.6430800940722	38.084544050104384	508.0016675213675	9.622968194103194	1187.1884534951614
13	C4	93.42644396768401	316.29969428124997	167.02503885695876	36.345921920668054	525.3606418803419	9.520511191646191	1166.014356720968
14	C5	91.04831111310591	325.41031928125	170.40699761984536	34.60729979123173	542.7196162393162	9.418054189189188	1144.8402599467743
15	D1	95.46509746858169	300.77131928125	158.6492630837629	39.116694363256784	485.84867606837605	9.210388341523341	984.5834728500001
16	D2	93.08696461400359	309.88194428125	162.0312218466495	37.37807223382046	503.20765042735036	9.107931339066338	963.4093760758066
17	D3	90.7088317594255	318.99256928125	165.41318060953608	35.63945010438413	520.5666247863247	9.005474336609335	942.2352793016129
18	D4	88.3306989048474	328.10319428125	168.79513937242268	33.90082797494781	537.9255991452991	8.903017334152333	921.0611825274195
19	D5	85.9525660502693	337.21381928125	172.17709813530928	32.16220584551149	555.2845735042735	8.80056033169533	899.8870857532258
