	Pixel	Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)	CE(cd/A)
0	A1-1	-0.99997	-1.08266e-06	-0.00676663	7.22483	4.24651	0.15561	-2.2996676336669806
1	A1-1	-0.799989	-6.3936e-07	-0.003996	14.2595	-44.41	0.145099	-3.631106106106106
2	A1-1	-0.599963	-3.36864e-07	-0.0021054	-1.11601	-70.2111	-0.00448722	0.21312909660872043
3	A1-1	-0.399956	-1.59294e-07	-0.000995587	-35.6844	-101.6	-0.0452293	4.542978162631694
4	A1-1	-0.199998	-5.72658e-08	-0.000357911	2250.47	-221.065	0.512772	-143.26801914442416
5	A1-1	5.48363e-05	1.70903e-08	0.000106814	19300800.0	-1754.33	0.359851	336.8949763139663
6	A1-1	0.200037	7.84305e-08	0.000490191	391.353	-330.879	0.12215	24.918858159370533
7	A1-1	0.399976	1.86829e-07	0.00116768	95.5553	-53.7735	0.142057	12.165747465058919
8	A1-1	0.599965	3.70806e-07	0.00231754	-67.5155	-82.9852	-0.298818	-12.893758036538742
9	A1-1	0.799979	6.67441e-07	0.00417151	68.3082	-24.131	0.725595	17.394061143326997
10	A1-1	0.999984	1.10921e-06	0.00693256	3.66198	-2.48696	0.0808078	1.16562712764116
11	A1-1	1.19998	1.75979e-06	0.0109987	10.676	-13.6249	0.448512	4.077863747533799
12	A1-1	1.39999	2.73408e-06	0.017088	-0.186608	-7.29282	-0.0142101	-0.08315835674157304
13	A1-1	1.6	4.15599e-06	0.0259749	2.43227	-4.1329	0.321763	1.2387458662016024
14	A1-1	1.79998	6.23097e-06	0.0389436	-0.639453	-1.84544	-0.14268	-0.3663759898930761
15	A1-1	1.99997	9.1802e-06	0.0573763	0.433573	-3.81978	0.158368	0.2760164039856178
16	A1-1	2.19992	1.36423e-05	0.0852644	0.855563	-0.846476	0.51083	0.5991128771210493
17	A1-1	2.39996	1.98561e-05	0.124101	0.202402	-1.52018	0.191886	0.1546208330311601
18	A1-1	2.59995	2.91957e-05	0.182473	0.125252	-0.448769	0.189147	0.10365752741501484
19	A1-1	2.79993	4.32546e-05	0.270341	0.342855	-0.693419	0.826076	0.30556815281440847
20	A1-1	2.99982	6.5914e-05	0.411963	0.906396	-0.255483	3.5655	0.8654903474341141
21	A1-1	3.19981	0.000100896	0.6306	1.07596	0.106858	6.91076	1.0959023152553122
22	A1-1	3.3998	0.000171866	1.07416	1.13623	0.277642	13.208	1.2296119758695165
23	A1-1	3.59982	0.000281163	1.75727	1.09592	0.316392	22.0672	1.255766046196657
24	A1-1	3.79979	0.000446912	2.7932	1.02939	0.425699	34.7771	1.2450630101675497
25	A1-1	3.99974	0.000575126	3.59454	1.15541	0.496129	52.8761	1.4710115898000857
26	A1-1	4.19974	0.000819659	5.12287	1.0505	0.443256	71.9418	1.404326090648406
27	A1-1	4.3997	0.00104008	6.5005	1.06065	0.510308	96.5593	1.485413429736174
28	A1-1	4.59973	0.00126517	7.90731	1.05401	0.543117	122.027	1.5432176049756492
29	A1-1	4.80002	0.00150167	9.38544	1.02244	0.543299	146.618	1.5621856833563477
30	A1-1	5.00005	0.00175438	10.9649	1.01001	0.565153	176.261	1.607502120402375
31	A1-1	5.2	0.00202909	12.6818	0.977003	0.573754	205.084	1.6171521392862211
32	A1-1	5.40003	0.00232995	14.5622	0.959127	0.58557	240.076	1.6486245210201755
33	A1-1	5.60005	0.00263078	16.4424	0.936386	0.601627	274.449	1.6691541380820318
34	A1-1	5.80011	0.00298958	18.6849	0.916357	0.606711	316.112	1.6918046122805048
35	A1-1	6.00007	0.00339037	21.1898	0.879228	0.599838	355.824	1.6792230223975686
36	A1-1	6.20012	0.00383299	23.9562	0.853383	0.605927	403.471	1.684202836843907
37	A1-1	6.40008	0.00430523	26.9077	0.822103	0.60207	450.649	1.6747956904529189
38	A1-1	6.60009	0.00482612	30.1632	0.797116	0.59889	505.126	1.674643273923191
39	A1-1	6.79998	0.00540373	33.7733	0.76236	0.590027	557.303	1.6501289480151482
40	A1-1	6.99998	0.00601575	37.5984	0.738616	0.589826	618.779	1.6457588620792376
41	A1-1	7.19991	0.00668902	41.8064	0.707633	0.585123	677.997	1.6217540854988708
42	A1-1	7.39996	0.00740995	46.3122	0.683404	0.580448	745.508	1.6097443006378451
43	A1-1	7.59989	0.00818531	51.1582	0.653938	0.569527	809.3	1.5819555809234882
44	A1-1	7.79995	0.0090188	56.3675	0.632256	0.565604	884.838	1.569766266022087
45	A1-1	7.99996	0.00989258	61.8286	0.60647	0.556706	954.853	1.5443548778397052
