	Pixel	HATCN	TAPC	CBP	TxOPhCz	Cl-BsubPc	B3PYMPM	LiQ	Al
0	A1	112.0053847217235	435.1053200044643	150.07214108698454	45.87689808977035	1.6523944078137653	445.0640606837607	11.214712665847665	1829.4402526790323
1	A2	109.6272518671454	450.20898071875	153.39147098389174	44.18174151356994	1.6363911689473685	462.423035042735	11.112255663390663	1807.6740913887095
2	A3	107.2491190125673	465.31264143303576	156.71080088079896	42.48658493736952	1.6203879300809716	479.7820094017094	11.00979866093366	1785.907930098387
3	A4	104.87098615798922	480.4163021473215	160.03013077770618	40.7914283611691	1.6043846912145752	497.1409837606837	10.907341658476659	1764.1417688080644
4	A5	102.49285330341112	495.51996286160715	163.3494606746134	39.096271784968685	1.5883814523481783	514.4999581196581	10.804884656019656	1742.3756075177419
5	B1	106.90963965888689	454.6732485758929	151.80946196327318	43.49293149269311	1.7846631527530366	457.6290179487179	10.597218808353807	1577.6377623564515
6	B2	104.53150680430879	469.7769092901786	155.1287918601804	41.7977749164927	1.7686599138866397	474.9879923076923	10.494761805896804	1555.8716010661287
7	B3	102.15337394973069	484.88057000446435	158.44812175708762	40.102618340292274	1.7526566750202432	492.3469666666667	10.392304803439801	1534.1054397758064
8	B4	99.7752410951526	499.98423071875	161.76745165399484	38.40746176409186	1.7366534361538464	509.705941025641	10.2898478009828	1512.3392784854836
9	B5	97.3971082405745	515.0878914330358	165.08678155090206	36.712305187891445	1.7206501972874495	527.0649153846153	10.187390798525797	1490.5731171951613
10	C1	100.5608425314183	479.0529628616071	153.97399289110822	40.522743601252614	1.9494569989068826	473.28371880341876	9.827882199017198	1263.9166268725805
11	C2	98.1827096768402	494.15662357589287	157.29332278801544	38.827587025052196	1.9334537600404857	490.6426931623932	9.725425196560197	1242.150465582258
12	C3	95.8045768222621	509.26028429017856	160.6126526849227	37.13243044885177	1.9174505211740889	508.0016675213675	9.622968194103194	1220.3843042919355
13	C4	93.42644396768401	524.3639450044643	163.93198258182989	35.43727387265136	1.9014472823076924	525.3606418803419	9.520511191646191	1198.6181430016131
14	C5	91.04831111310591	539.4676057187501	167.2513124787371	33.74211729645094	1.8854440434412956	542.7196162393162	9.418054189189188	1176.8519817112904
15	D1	95.46509746858169	498.62089143303575	155.7113137673969	38.13877700417537	2.0817257438461536	485.84867606837605	9.210388341523341	1012.1141365500001
16	D2	93.08696461400359	513.7245521473214	159.0306436643041	36.44362042797495	2.0657225049797567	503.20765042735036	9.107931339066338	990.3479752596775
17	D3	90.7088317594255	528.8282128616072	162.34997356121133	34.74846385177453	2.0497192661133603	520.5666247863247	9.005474336609335	968.5818139693548
18	D4	88.3306989048474	543.931873575893	165.66930345811855	33.05330727557411	2.0337160272469634	537.9255991452991	8.903017334152333	946.8156526790323
19	D5	85.9525660502693	559.0355342901786	168.98863335502577	31.3581506993737	2.017712788380567	555.2845735042735	8.80056033169533	925.0494913887096
