	Timestamp	Filtered Rate: CBP	Filtered Rate: tri-PXZ-trz	Source Power: CBP	Source Power: tri-PXZ-trz	Thickness: CBP	Thickness: tri-PXZ-trz	State: CBP	State: tri-PXZ-trz	Fundamental  Frequency: CBP	Fundamental  Frequency: tri-PXZ-trz	Current Z-Ratio: CBP	Current Z-Ratio: tri-PXZ-trz
0	14:07:22	0.000	0.000	0.000	0.000	-0.000	0.000	Ready	Ready	1	1	000.000	000.000
1	14:07:23	0.000	0.000	0.000	0.000	-0.000	0.000	Ready	Ready	1	1	000.000	000.000
2	14:07:24	-0.001	0.000	0.000	0.000	-0.000	0.000	Ready	Ready	1	1	000.000	000.000
3	14:07:25	0.001	0.000	0.000	0.000	-0.000	0.000	Ready	Ready	1	1	000.000	000.000
4	14:07:26	-0.001	0.000	0.080	0.000	-0.000	0.000	PreCon Rise	Ready	1	1	000.000	000.000
5	14:07:27	0.001	0.002	0.480	0.090	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
6	14:07:28	0.000	0.001	0.880	0.190	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
7	14:07:29	-0.001	-0.000	1.280	0.290	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
8	14:07:30	0.001	-0.000	1.680	0.390	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
9	14:07:31	0.000	-0.001	2.080	0.490	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
10	14:07:32	0.000	-0.001	2.480	0.590	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
11	14:07:33	0.000	-0.001	2.880	0.690	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
12	14:07:34	-0.001	-0.000	3.280	0.790	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	1	Fundamental Activity	000.000
