	Timestamp	Filtered Rate: CBP	Filtered Rate: tri-PXZ-trz	Filtered Rate: Cl-BsubPc	Source Power: CBP	Source Power: tri-PXZ-trz	Source Power: Cl-BsubPc	Thickness: CBP	Thickness: tri-PXZ-trz	Thickness: Cl-BsubPc	State: CBP	State: tri-PXZ-trz	State: Cl-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: tri-PXZ-trz	Fundamental  Frequency: Cl-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: tri-PXZ-trz	Current Z-Ratio: Cl-BsubPc
0	12:03:13	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	1	1	1	000.000	000.000	000.000
1	12:03:14	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	1	1	1	000.000	000.000	000.000
2	12:03:15	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	1	1	1	000.000	000.000	000.000
3	12:03:16	-0.001	0.018	0.000	0.160	0.010	0.000	-0.000	0.000	0.000	PreCon Rise	PreCon Rise	Ready	1	1	Sensor Status	000.000	000.000	Fundamental Activity
4	12:03:17	-0.000	-0.009	0.000	0.560	0.110	0.533	-0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	770
5	12:03:18	0.000	-0.002	0.001	0.960	0.210	1.200	-0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	769
6	12:03:19	0.000	-0.003	0.000	1.360	0.310	1.867	-0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	770
7	12:03:20	-0.000	0.009	-0.000	1.760	0.410	2.533	-0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	768
8	12:03:21	0.000	0.011	-0.000	2.160	0.510	3.200	-0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	766
9	12:03:22	0.000	0.010	0.000	2.560	0.610	3.867	-0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	767
10	12:03:23	0.000	0.016	0.000	2.960	0.710	4.533	-0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	766
11	12:03:24	0.000	0.007	0.000	3.360	0.810	5.200	-0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	766
12	12:03:25	0.000	0.007	-0.000	3.760	0.910	5.867	-0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	766
13	12:03:26	0.000	0.010	-0.000	4.160	1.010	6.533	-0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	766
14	12:03:27	0.000	-0.004	-0.000	4.560	1.110	7.200	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	767
15	12:03:28	0.000	-0.003	-0.000	4.960	1.210	7.867	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	766
16	12:03:29	0.000	0.000	-0.000	5.360	1.310	8.533	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	765
17	12:03:30	0.000	-0.005	-0.000	5.760	1.410	9.200	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	767
18	12:03:31	-0.001	0.013	-0.000	6.160	1.510	9.867	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	765
19	12:03:32	0.000	0.007	-0.000	6.560	1.610	10.533	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	765
20	12:03:33	0.001	0.008	-0.000	6.960	1.710	11.200	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	766
21	12:03:34	-0.001	0.014	-0.000	7.360	1.810	11.867	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	765
22	12:03:35	0.000	0.003	-0.000	7.760	1.910	12.533	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	763
23	12:03:36	0.000	0.006	-0.000	8.160	2.010	13.200	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	765
24	12:03:37	0.000	-0.002	-0.000	8.560	2.110	13.867	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	764
25	12:03:38	0.000	-0.003	-0.000	8.960	2.210	14.533	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	766
26	12:03:39	0.000	-0.002	-0.000	9.360	2.310	15.200	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	765
27	12:03:40	-0.001	-0.002	-0.000	9.760	2.410	15.867	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	762
28	12:03:41	0.000	0.003	-0.000	10.160	2.510	16.533	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	764
29	12:03:42	0.000	0.002	-0.000	10.560	2.610	17.200	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	764
30	12:03:43	0.001	0.007	-0.000	10.960	2.710	17.867	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	763
31	12:03:44	-0.001	0.006	-0.000	11.360	2.810	18.533	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	765
32	12:03:45	0.000	0.004	-0.000	11.760	2.910	19.200	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	762
33	12:03:46	0.000	0.003	-0.000	12.000	3.010	19.867	-0.000	0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	764
34	12:03:47	0.000	0.004	-0.000	12.000	3.110	20.000	-0.000	0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	764
35	12:03:48	-0.001	0.003	-0.001	12.000	3.210	20.000	-0.000	0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	761
36	12:03:49	0.000	0.004	-0.001	12.000	3.310	20.000	-0.000	0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	763
37	12:03:50	-0.001	0.004	-0.001	12.000	3.410	20.000	-0.000	0.000	-0.000	PreCon Soak	PreCon Rise	PreCon Soak	Sensor Status	1	00	Fundamental Activity	000.000	763
38	12:03:51	-0.001	-0.003	-0.004	12.000	3.510	20.000	-0.000	0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	763
39	12:03:52	0.000	0.001	-0.005	12.000	3.610	20.050	-0.000	0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	765
40	12:03:53	0.000	-0.000	-0.005	12.000	3.710	20.432	-0.000	0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	762
41	12:03:54	-0.001	-0.003	-0.006	12.000	3.810	20.848	-0.000	0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	764
42	12:03:55	-0.001	0.002	-0.006	12.000	3.910	21.937	-0.000	0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	763
43	12:03:56	-0.001	0.002	-0.006	12.000	4.010	22.390	-0.000	0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	761
44	12:03:57	0.000	0.002	-0.006	12.000	4.110	22.551	-0.000	0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	764
45	12:03:58	-0.001	0.003	-0.007	12.000	4.210	22.723	-0.000	0.000	-0.000	PreCon Soak	PreCon Rise	Manual	Sensor Status	1	00	Fundamental Activity	000.000	762
