	Timestamp	Filtered Rate: CBP	Filtered Rate: Cl-BsubPc	Source Power: CBP	Source Power: Cl-BsubPc	Thickness: CBP	Thickness: Cl-BsubPc	State: CBP	State: Cl-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: Cl-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: Cl-BsubPc
0	14:01:48	-0.000	0.000	0.000	0.000	-0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
1	14:01:49	-0.001	0.000	0.000	0.000	-0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
2	14:01:50	0.000	-0.000	0.160	0.038	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	750
3	14:01:51	0.001	-0.000	0.560	0.422	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	748
4	14:01:52	-0.001	0.000	0.960	0.805	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	748
5	14:01:53	0.000	0.000	1.360	1.188	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	747
6	14:01:54	0.000	0.000	0.000	0.000	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	748
7	14:01:55	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
8	14:01:56	0.001	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
9	14:01:57	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
10	14:01:58	-0.001	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
11	14:01:59	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
12	14:02:00	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
13	14:02:01	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
14	14:02:02	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
15	14:02:03	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
16	14:02:04	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
17	14:02:05	0.001	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
18	14:02:06	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
19	14:02:07	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
20	14:02:08	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
21	14:02:09	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
