	Timestamp	Filtered Rate: LiQ	Source Power: LiQ	Thickness: LiQ	State: LiQ	Fundamental  Frequency: LiQ	Current Z-Ratio: LiQ
0	15:35:37	-0.001	0.000	-0.001	Ready	1	000.000
1	15:35:38	0.013	0.000	-0.001	Ready	1	000.000
2	15:35:39	0.003	0.080	-0.001	PreCon Rise	1	000.000
3	15:35:40	-0.002	0.347	-0.001	PreCon Rise	1	000.000
4	15:35:41	0.006	0.613	-0.001	PreCon Rise	1	000.000
5	15:35:42	0.007	0.880	-0.001	PreCon Rise	1	000.000
6	15:35:43	0.001	1.147	-0.001	PreCon Rise	1	000.000
7	15:35:44	0.000	1.413	-0.001	PreCon Rise	1	000.000
8	15:35:45	0.001	1.680	-0.001	PreCon Rise	1	000.000
9	15:35:46	0.001	1.947	-0.001	PreCon Rise	1	000.000
10	15:35:47	-0.004	2.213	-0.001	PreCon Rise	1	000.000
11	15:35:48	-0.006	2.480	-0.001	PreCon Rise	1	000.000
12	15:35:49	0.001	2.747	-0.001	PreCon Rise	1	000.000
13	15:35:50	-0.006	3.013	-0.001	PreCon Rise	1	000.000
14	15:35:51	0.003	3.280	-0.001	PreCon Rise	1	000.000
15	15:35:52	0.003	3.547	-0.001	PreCon Rise	1	000.000
16	15:35:53	-0.005	3.813	-0.001	PreCon Rise	1	000.000
17	15:35:54	-0.001	4.080	-0.001	PreCon Rise	1	000.000
18	15:35:55	0.004	4.347	-0.001	PreCon Rise	1	000.000
19	15:35:56	-0.004	4.613	-0.001	PreCon Rise	1	000.000
20	15:35:57	-0.004	4.880	-0.001	PreCon Rise	1	000.000
21	15:35:58	0.003	5.147	-0.001	PreCon Rise	1	000.000
22	15:35:59	0.003	5.413	-0.001	PreCon Rise	1	000.000
23	15:36:00	-0.008	5.680	-0.001	PreCon Rise	1	000.000
24	15:36:01	0.001	5.947	-0.001	PreCon Rise	1	000.000
25	15:36:02	0.000	6.213	-0.001	PreCon Rise	1	000.000
26	15:36:03	-0.001	6.480	-0.001	PreCon Rise	1	000.000
27	15:36:04	-0.002	6.747	-0.001	PreCon Rise	1	000.000
28	15:36:05	-0.003	7.013	-0.001	PreCon Rise	1	000.000
