	Timestamp	Filtered Rate: CBP	Filtered Rate: F-BsubPc	Source Power: CBP	Source Power: F-BsubPc	Thickness: CBP	Thickness: F-BsubPc	State: CBP	State: F-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: F-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: F-BsubPc
0	14:49:34	-0.000	0.000	0.000	0.000	-0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
1	14:49:35	0.001	0.000	0.000	0.000	-0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
2	14:49:36	0.000	-0.000	0.320	0.360	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	757
3	14:49:37	0.000	-0.001	0.720	0.960	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	755
4	14:49:38	0.000	-0.000	1.120	1.560	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	758
5	14:49:39	-0.000	-0.000	1.520	2.160	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	759
6	14:49:40	-0.000	-0.000	1.920	2.760	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	759
7	14:49:41	0.000	-0.000	2.320	3.360	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	757
8	14:49:42	0.000	-0.001	2.720	3.480	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	758
9	14:49:43	0.000	-0.000	3.120	3.366	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	757
10	14:49:44	0.000	-0.001	3.520	3.681	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	759
11	14:49:45	0.000	-0.000	3.920	4.316	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	758
12	14:49:46	0.001	-0.001	4.320	4.316	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	757
13	14:49:47	-0.001	-0.000	4.760	4.316	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	758
14	14:49:48	0.000	-0.000	5.120	4.316	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	758
15	14:49:49	0.000	-0.000	5.520	4.316	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	757
16	14:49:50	-0.001	-0.000	5.920	4.316	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	758
17	14:49:51	-0.000	-0.000	6.320	4.316	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	758
18	14:49:52	0.000	-0.000	6.720	4.316	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	758
19	14:49:53	0.000	-0.000	7.120	4.316	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	758
20	14:49:54	0.000	-0.000	7.520	4.316	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	758
21	14:49:55	0.001	-0.000	7.920	4.316	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	757
22	14:49:56	0.000	-0.000	8.320	4.060	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	759
23	14:49:57	0.000	-0.000	8.720	4.548	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	758
24	14:49:58	0.000	-0.000	9.120	5.676	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	758
25	14:49:59	-0.000	-0.000	9.520	7.349	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	759
26	14:50:00	-0.000	-0.000	9.920	10.524	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	759
27	14:50:01	-0.000	-0.000	10.320	14.524	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	758
28	14:50:02	-0.000	-0.000	10.720	17.524	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	757
29	14:50:03	-0.000	-0.000	11.120	18.524	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	757
30	14:50:04	-0.001	-0.000	11.520	18.777	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	758
31	14:50:05	0.001	-0.000	11.920	18.986	-0.000	-0.000	PreCon Rise	Manual	Sensor Status	00	Fundamental Activity	757
32	14:50:06	0.000	-0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
33	14:50:07	-0.001	-0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	760
34	14:50:08	0.001	-0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
35	14:50:09	-0.000	-0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
36	14:50:10	0.000	-0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
37	14:50:11	-0.001	-0.000	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
38	14:50:12	-0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	758
39	14:50:13	0.000	-0.001	12.000	18.986	-0.000	-0.000	PreCon Soak	Manual	Sensor Status	00	Fundamental Activity	757
