	Pixel	HATCN	TAPC	CBP	F-BsubPc	B3PYMPM	LiQ	Al
0	A1	113.13675224416517	261.58636473214284	187.8261388447165	1.7968660500269904	445.0640606837607	11.214712665847665	564.4157114564516
1	A2	110.73459784560143	270.666721875	191.98052028801544	1.7794636208771928	462.423035042735	11.112255663390663	557.7004533919355
2	A3	108.33244344703769	279.7470790178571	196.13490173131441	1.7620611917273952	479.7820094017094	11.00979866093366	550.9851953274193
3	A4	105.93028904847397	288.8274361607143	200.28928317461336	1.744658762577598	497.1409837606837	10.907341658476659	544.2699372629032
4	A5	103.52813464991023	297.9077933035714	204.44366461791236	1.7272563334278004	514.4999581196581	10.804884656019656	537.5546791983871
5	B1	107.98953500897666	273.3506504464286	190.00052157667523	1.9406992753981105	457.6290179487179	10.597218808353807	486.7300469403226
6	B2	105.58738061041292	282.4310075892857	194.1549030199742	1.9232968462483129	474.9879923076923	10.494761805896804	480.01478887580646
7	B3	103.1852262118492	291.51136473214285	198.30928446327317	1.9058944170985157	492.3469666666667	10.392304803439801	473.29953081129037
8	B4	100.78307181328546	300.59172187499996	202.46366590657215	1.888491987948718	509.705941025641	10.2898478009828	466.58427274677416
9	B5	98.38091741472172	309.67207901785713	206.61804734987112	1.8710895587989205	527.0649153846153	10.187390798525797	459.86901468225807
10	C1	101.57660861759425	288.0077933035714	192.7095885869845	2.1199013266801616	473.28371880341876	9.827882199017198	389.94135016612904
11	C2	99.17445421903052	297.0881504464286	196.86397003028347	2.102498897530364	490.6426931623932	9.725425196560197	383.2260921016129
12	C3	96.77229982046678	306.1685075892857	201.01835147358247	2.0850964683805664	508.0016675213675	9.622968194103194	376.5108340370968
13	C4	94.37014542190305	315.24886473214286	205.17273291688142	2.067694039230769	525.3606418803419	9.520511191646191	369.7955759725807
14	C5	91.96799102333932	324.32922187500003	209.3271143601804	2.0502916100809716	542.7196162393162	9.418054189189188	363.08031790806456
15	D1	96.42939138240575	299.77207901785715	194.88397131894328	2.263734552051282	485.84867606837605	9.210388341523341	312.25568565000003
16	D2	94.02723698384202	308.8524361607143	199.03835276224225	2.2463321229014843	503.20765042735036	9.107931339066338	305.5404275854839
17	D3	91.62508258527828	317.93279330357143	203.1927342055412	2.2289296937516867	520.5666247863247	9.005474336609335	298.82516952096773
18	D4	89.22292818671454	327.0131504464286	207.34711564884017	2.211527264601889	537.9255991452991	8.903017334152333	292.10991145645164
19	D5	86.82077378815082	336.09350758928565	211.50149709213918	2.1941248354520915	555.2845735042735	8.80056033169533	285.3946533919355
