	Timestamp	Filtered Rate: AlQ3	Source Power: AlQ3	Thickness: AlQ3	State: AlQ3	Fundamental  Frequency: AlQ3	Current Z-Ratio: AlQ3
0	14:19:44	-0.006	0.000	-0.000	Ready	5878965.236	2.431
1	14:19:45	0.000	0.000	-0.000	Ready	5878965.236	2.431
2	14:19:47	-0.006	0.000	-0.000	Ready	5878965.240	2.431
3	14:19:47	0.000	0.000	-0.000	Ready	5878965.243	2.431
4	14:19:48	0.000	0.000	-0.000	Ready	5878965.243	2.431
5	14:19:49	0.000	0.000	-0.000	Ready	5878965.247	2.431
6	14:19:50	0.000	0.175	-0.000	PreCon Rise	5878965.250	2.431
7	14:19:51	-0.006	0.425	-0.000	PreCon Rise	5878965.254	2.431
8	14:19:52	0.000	0.675	-0.000	PreCon Rise	5878965.254	2.431
9	14:19:53	0.000	0.925	-0.000	PreCon Rise	5878965.257	2.431
10	14:19:54	0.000	1.175	-0.000	PreCon Rise	5878965.261	2.431
11	14:19:55	0.000	1.425	-0.000	PreCon Rise	5878965.264	2.431
12	14:19:56	-0.006	1.675	-0.000	PreCon Rise	5878965.268	2.431
13	14:19:57	0.000	1.925	-0.000	PreCon Rise	5878965.271	2.431
14	14:19:58	0.000	2.175	-0.000	PreCon Rise	5878965.271	2.431
15	14:19:59	0.006	2.425	-0.000	PreCon Rise	5878965.275	2.431
16	14:20:00	0.000	2.675	-0.000	PreCon Rise	5878965.282	2.431
17	14:20:01	0.000	2.925	-0.000	PreCon Rise	5878965.285	2.431
18	14:20:02	-0.006	3.175	-0.000	PreCon Rise	5878965.289	2.431
19	14:20:03	0.000	3.425	-0.000	PreCon Rise	5878965.289	2.431
20	14:20:04	0.000	3.675	-0.000	PreCon Rise	5878965.292	2.431
21	14:20:05	0.000	3.925	-0.000	PreCon Rise	5878965.296	2.431
22	14:20:06	0.000	4.175	-0.000	PreCon Rise	5878965.299	2.431
23	14:20:07	0.000	4.425	-0.000	PreCon Rise	5878965.303	2.431
24	14:20:08	-0.006	4.675	-0.000	PreCon Rise	5878965.306	2.431
25	14:20:09	0.000	4.925	-0.000	PreCon Rise	5878965.306	2.431
26	14:20:10	0.000	5.175	-0.000	PreCon Rise	5878965.313	2.431
27	14:20:11	0.006	5.425	-0.000	PreCon Rise	5878965.313	2.431
28	14:20:12	0.000	5.675	-0.000	PreCon Rise	5878965.317	2.431
29	14:20:13	0.000	5.925	-0.000	PreCon Rise	5878965.320	2.431
30	14:20:14	0.000	6.175	-0.000	PreCon Rise	5878965.324	2.431
31	14:20:15	0.000	6.425	-0.000	PreCon Rise	5878965.327	2.431
