	Timestamp	Filtered Rate: Al	Source Power: Al	Thickness: Al	State: Al	Fundamental  Frequency: Al	Current Z-Ratio: Al
0	15:22:43	-0.001	0.000	-0.000	Ready	5978971.909	0.223
1	15:22:44	-0.001	0.000	-0.000	Ready	5978971.909	0.223
2	15:22:45	-0.001	0.040	-0.000	PreCon Rise	5978971.913	0.223
3	15:22:46	-0.001	0.173	-0.000	PreCon Rise	5978971.913	0.223
4	15:22:47	-0.001	0.307	-0.000	PreCon Rise	5978971.916	0.223
5	15:22:48	-0.001	0.440	-0.000	PreCon Rise	5978971.920	0.223
6	15:22:49	-0.001	0.573	-0.000	PreCon Rise	5978971.923	0.223
7	15:22:50	-0.001	0.707	-0.000	PreCon Rise	5978971.923	0.223
8	15:22:51	-0.001	0.840	-0.000	PreCon Rise	5978971.923	0.223
9	15:22:52	-0.000	0.973	-0.000	PreCon Rise	5978971.923	0.223
10	15:22:53	-0.000	1.107	-0.000	PreCon Rise	5978971.927	0.223
11	15:22:54	-0.000	1.240	-0.000	PreCon Rise	5978971.927	0.223
12	15:22:55	-0.000	1.373	-0.000	PreCon Rise	5978971.927	0.223
13	15:22:56	-0.001	1.507	-0.000	PreCon Rise	5978971.930	0.223
14	15:22:57	-0.000	1.640	-0.000	PreCon Rise	5978971.930	0.223
15	15:22:58	-0.001	1.773	-0.000	PreCon Rise	5978971.934	0.223
16	15:22:59	-0.001	1.907	-0.000	PreCon Rise	5978971.937	0.223
17	15:23:00	-0.001	2.040	-0.000	PreCon Rise	5978971.937	0.223
18	15:23:01	-0.001	2.173	-0.000	PreCon Rise	5978971.941	0.223
19	15:23:02	-0.001	2.307	-0.000	PreCon Rise	5978971.944	0.223
20	15:23:03	-0.001	2.440	-0.000	PreCon Rise	5978971.948	0.223
21	15:23:04	-0.001	2.573	-0.000	PreCon Rise	5978971.944	0.223
22	15:23:05	-0.001	2.707	-0.000	PreCon Rise	5978971.948	0.223
23	15:23:06	-0.001	2.840	-0.000	PreCon Rise	5978971.951	0.223
24	15:23:07	-0.000	2.973	-0.000	PreCon Rise	5978971.951	0.223
25	15:23:08	-0.001	3.107	-0.000	PreCon Rise	5978971.951	0.223
26	15:23:09	-0.001	3.240	-0.000	PreCon Rise	5978971.955	0.223
27	15:23:10	-0.001	3.373	-0.000	PreCon Rise	5978971.958	0.223
28	15:23:11	-0.002	3.507	-0.000	PreCon Rise	5978971.965	0.223
29	15:23:12	-0.001	3.640	-0.000	PreCon Rise	5978971.958	0.223
30	15:23:13	-0.001	3.773	-0.000	PreCon Rise	5978971.965	0.223
31	15:23:14	-0.000	3.907	-0.000	PreCon Rise	5978971.962	0.223
32	15:23:15	-0.000	4.040	-0.000	PreCon Rise	5978971.965	0.223
33	15:23:16	-0.001	4.173	-0.000	PreCon Rise	5978971.965	0.223
34	15:23:17	0.000	4.307	-0.000	PreCon Rise	5978971.965	0.223
35	15:23:18	0.000	4.440	-0.000	PreCon Rise	5978971.962	0.223
36	15:23:19	-0.001	4.573	-0.000	PreCon Rise	5978971.972	0.223
37	15:23:20	-0.001	4.707	-0.000	PreCon Rise	5978971.972	0.223
38	15:23:21	-0.001	4.840	-0.000	PreCon Rise	5978971.976	0.223
39	15:23:22	-0.002	4.973	-0.000	PreCon Rise	5978971.979	0.223
40	15:23:23	-0.001	5.107	-0.000	PreCon Rise	5978971.979	0.223
41	15:23:24	-0.001	5.240	-0.000	PreCon Rise	5978971.979	0.223
42	15:23:25	-0.001	5.373	-0.000	PreCon Rise	5978971.983	0.223
43	15:23:26	-0.000	5.507	-0.000	PreCon Rise	5978971.983	0.223
44	15:23:27	-0.001	5.640	-0.000	PreCon Rise	5978971.990	0.223
45	15:23:28	-0.001	5.773	-0.000	PreCon Rise	5978971.990	0.223
46	15:23:29	-0.001	5.907	-0.000	PreCon Rise	5978971.990	0.223
47	15:23:30	-0.002	6.040	-0.000	PreCon Rise	5978971.997	0.223
48	15:23:31	-0.001	6.173	-0.000	PreCon Rise	5978971.997	0.223
49	15:23:32	-0.001	6.307	-0.000	PreCon Rise	5978971.997	0.223
50	15:23:33	-0.002	6.440	-0.000	PreCon Rise	5978972.004	0.223
