	Pixel	Max Current (A)	Max Luminance (cd/m2)	Status	Turnon Voltage (V)	EQE(%)_max	EQE(%)_avg	CE(cd/A)_max	CE(cd/A)_avg	PE(lm/W)_max	PE(lm/W)_avg	V (V) @ 100 cd/m2	EQE(%) @ 100 cd/m2	CE(cd/A) @ 100 cd/m2	PE(lm/W) @ 100 cd/m2	λmax (nm) @ 100 cd/m2	FWHM (nm) @ 100 cd/m2	CIE-x @ 100 cd/m2	CIE-y @ 100 cd/m2	Hex Color @ 100 cd/m2	V (V) @ 250 cd/m2	EQE(%) @ 250 cd/m2	CE(cd/A) @ 250 cd/m2	PE(lm/W) @ 250 cd/m2	λmax (nm) @ 250 cd/m2	FWHM (nm) @ 250 cd/m2	CIE-x @ 250 cd/m2	CIE-y @ 250 cd/m2	Hex Color @ 250 cd/m2
0	A1-1	0.0200013	501.56	Working	3.6	0.175266	0.15019755806451612	0.4688135430941112	0.4120646171275433	0.27849	0.20811409677419354	6.2	0.169975	0.4649902919353721	0.235614	577.5	29.0	0.5195353545322571	0.43686642769722434	#ffcd00	7.79994	0.167167	0.42214679948738115	0.170029	577.5	30.5	0.5077954733545629	0.42591930878705775	#ffc600
1	A2-1	0.0200015	568.54	Working	3.6	0.222856	0.18585726874999997	0.6589162970732461	0.5657526356111408	0.503409	0.2953274375	6.00018	0.214586	0.6165210277326566	0.322799	577.5	29.0	0.527659415467714	0.4448734410758361	#ffd100	7.60011	0.208434	0.5447385106926111	0.225174	577.5	30.0	0.5100348860363213	0.42980543176699576	#ffca00
2	A3-1	0.020002	525.88	Working	3.4	0.355569	0.19164186666666666	0.7016263141949592	0.5418760725660252	0.614557	0.2972551212121212	6.2003	0.1994	0.5658217156918971	0.286693	577.5	28.5	0.524543273658566	0.44256094569075616	#ffd100	7.80018	0.18428	0.4782973147090691	0.192638	577.5	30.0	0.508998135587457	0.42908799477718573	#ffca00
3	A4-1	0.0197469	527.24	Working	3.6	0.348176	0.19887121212121212	0.5090672873924106	0.47875126131008083	0.444231	0.24386742424242425	6.60033	0.193783	0.4991632478038152	0.237589	577.5	29.5	0.5201504994904812	0.4376882730680853	#ffcd00	8.20028	0.18738	0.47107493289919483	0.180473	577.5	31.0	0.506614248456593	0.42483697519257496	#ffc500
4	A5-1	0.0200024	584.51	Working	3.6	0.194956	0.1527780818181818	0.5053111578704639	0.4443448087085731	0.304378	0.21822457575757573	6.20048	0.169624	0.4980584319526627	0.252351	577.5	28.5	0.5210172012142078	0.4429356091629277	#ffd400	7.80055	0.16215	0.43595553618879174	0.175577	577.0	29.5	0.512521827775482	0.43344689471153125	#ffcd00
5	B1-1	0.0200011	515.23	Working	3.4	0.246612	0.16884394333333327	0.5287818888033426	0.4593730938477089	0.373311	0.24993993333333328	6.00025	0.182167	0.5060528776256468	0.264958	577.5	29.0	0.5267534661089838	0.4444662771153227	#ffd100	7.6002	0.16173	0.42664136634313454	0.176355	577.5	30.0	0.516034944651456	0.4334969129268608	#ffcb00
6	B2-1	0.0200007	569.32	Working	3.4	0.393577	0.20626737993548383	0.6418059635970688	0.5630880996363556	0.490631	0.3064522903225806	6.00034	0.21534	0.6178647813688213	0.323495	577.5	29.0	0.5285360819075189	0.446884179779262	#ffd300	7.40027	0.207009	0.5463175151217349	0.231926	577.5	30.5	0.5175346789110298	0.43550947685816443	#ffcc00
7	B3-1	0.0200018	595.28	Working	3.6	0.31419	0.2115196	0.6608180352220643	0.552758588624954	0.398881	0.28209987096774186	6.2005	0.232499	0.639095372251219	0.32381	577.5	28.5	0.5266341559408055	0.44280690953388996	#ffcf00	7.60043	0.221642	0.5750458192827953	0.237692	577.5	30.0	0.5165643591698164	0.43455686893903006	#ffcc00
8	B4-1	0.0200014	611.35	Working	3.4	0.26412	0.2086505424242424	0.9622620315516208	0.65933723418167	0.889067	0.3610141515151515	6.20052	0.239524	0.6879066464503003	0.348537	577.5	29.0	0.5316122226393035	0.4482146956429031	#ffd300	7.60045	0.225335	0.6086946195391434	0.251599	577.5	29.5	0.5188074197810993	0.43701978071090636	#ffcd00
9	B5-1	0.0200016	584.43	Working	3.8	0.340163	0.21861083870967743	0.6268202743691205	0.544572601076688	0.39648	0.27331887096774193	6.40057	0.228849	0.6128048946147284	0.300783	577.0	28.5	0.5250996158597632	0.4444557920127297	#ffd300	7.80049	0.199657	0.5231569895811419	0.210698	577.5	30.0	0.5178239389232375	0.43700226186118335	#ffce00
