	Pixel	HATCN	TAPC	CBP	BuO-BsubPc	B3PYMPM	LiQ	Al
0	A1	114.26811976660682	261.58636473214284	187.8261388447165	1.7968660500269904	445.0640606837607	11.214712665847665	1092.1640449064516
1	A2	111.84194382405745	270.666721875	191.98052028801544	1.7794636208771928	462.423035042735	11.112255663390663	1079.1697868419355
2	A3	109.41576788150807	279.7470790178571	196.13490173131441	1.7620611917273952	479.7820094017094	11.00979866093366	1066.1755287774192
3	A4	106.98959193895871	288.8274361607143	200.28928317461336	1.744658762577598	497.1409837606837	10.907341658476659	1053.1812707129034
4	A5	104.56341599640933	297.9077933035714	204.44366461791236	1.7272563334278004	514.4999581196581	10.804884656019656	1040.187012648387
5	B1	109.06943035906643	273.3506504464286	190.00052157667523	1.9406992753981105	457.6290179487179	10.597218808353807	941.8395803903226
6	B2	106.64325441651707	282.4310075892857	194.1549030199742	1.9232968462483129	474.9879923076923	10.494761805896804	928.8453223258064
7	B3	104.21707847396769	291.51136473214285	198.30928446327317	1.9058944170985157	492.3469666666667	10.392304803439801	915.8510642612904
8	B4	101.79090253141833	300.59172187499996	202.46366590657215	1.888491987948718	509.705941025641	10.2898478009828	902.8568061967742
9	B5	99.36472658886895	309.67207901785713	206.61804734987112	1.8710895587989205	527.0649153846153	10.187390798525797	889.8625481322581
10	C1	102.5923747037702	288.0077933035714	192.7095885869845	2.1199013266801616	473.28371880341876	9.827882199017198	754.5500836161291
11	C2	100.16619876122083	297.0881504464286	196.86397003028347	2.102498897530364	490.6426931623932	9.725425196560197	741.5558255516129
12	C3	97.74002281867146	306.1685075892857	201.01835147358247	2.0850964683805664	508.0016675213675	9.622968194103194	728.5615674870968
13	C4	95.31384687612208	315.24886473214286	205.17273291688142	2.067694039230769	525.3606418803419	9.520511191646191	715.5673094225808
14	C5	92.88767093357272	324.32922187500003	209.3271143601804	2.0502916100809716	542.7196162393162	9.418054189189188	702.5730513580646
15	D1	97.3936852962298	299.77207901785715	194.88397131894328	2.263734552051282	485.84867606837605	9.210388341523341	604.2256191000001
16	D2	94.96750935368044	308.8524361607143	199.03835276224225	2.2463321229014843	503.20765042735036	9.107931339066338	591.2313610354839
17	D3	92.54133341113106	317.93279330357143	203.1927342055412	2.2289296937516867	520.5666247863247	9.005474336609335	578.2371029709677
18	D4	90.1151574685817	327.0131504464286	207.34711564884017	2.211527264601889	537.9255991452991	8.903017334152333	565.2428449064516
19	D5	87.68898152603232	336.09350758928565	211.50149709213918	2.1941248354520915	555.2845735042735	8.80056033169533	552.2485868419355
