	Timestamp	Filtered Rate: CBP	Filtered Rate: tri-PXZ-trz	Filtered Rate: BuO-BsubPc	Source Power: CBP	Source Power: tri-PXZ-trz	Source Power: BuO-BsubPc	Thickness: CBP	Thickness: tri-PXZ-trz	Thickness: BuO-BsubPc	State: CBP	State: tri-PXZ-trz	State: BuO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: tri-PXZ-trz	Fundamental  Frequency: BuO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: tri-PXZ-trz	Current Z-Ratio: BuO-BsubPc
0	11:40:27	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	1	1	1	000.000	000.000	000.000
1	11:40:28	-0.001	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	1	1	1	000.000	000.000	000.000
2	11:40:29	0.000	0.000	0.000	0.120	0.010	0.000	-0.000	0.000	0.000	PreCon Rise	PreCon Rise	Ready	1	1	Sensor Status	000.000	000.000	Fundamental Activity
3	11:40:30	-0.000	0.000	0.000	0.520	0.110	0.540	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
4	11:40:31	0.000	0.000	0.000	0.920	0.210	1.140	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
5	11:40:32	-0.001	0.000	-0.000	1.320	0.310	1.740	-0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
6	11:40:33	0.001	-0.000	-0.000	1.720	0.410	2.340	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	787
7	11:40:34	0.000	0.001	0.000	2.120	0.510	2.940	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
8	11:40:35	-0.001	-0.000	0.000	2.520	0.610	3.540	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
9	11:40:36	0.000	-0.000	0.000	2.920	0.710	4.140	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
10	11:40:37	0.000	0.000	0.000	3.320	0.810	4.740	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	788
11	11:40:38	0.000	-0.001	0.000	3.720	0.910	5.340	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	785
12	11:40:39	-0.001	-0.000	-0.000	4.120	1.010	5.940	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
13	11:40:40	0.001	0.000	-0.000	4.520	1.110	6.540	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
14	11:40:41	0.000	-0.000	-0.000	4.920	1.210	7.140	-0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
