	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Filtered Rate: (tBu)3Cl-BsubPc	Source Power: CBP	Source Power: TxOPhCz	Source Power: (tBu)3Cl-BsubPc	Thickness: CBP	Thickness: TxOPhCz	Thickness: (tBu)3Cl-BsubPc	State: CBP	State: TxOPhCz	State: (tBu)3Cl-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Fundamental  Frequency: (tBu)3Cl-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz	Current Z-Ratio: (tBu)3Cl-BsubPc
0	14:32:03	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.178	Current Z-Ratio	0	0.865
1	14:32:04	0.010	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.185	Current Z-Ratio	0	0.865
2	14:32:05	0.000	0.000	0.000	0.350	0.000	0.000	-0.000	0.000	0.000	PreCon Rise	Ready	Ready	Fundamental  Frequency	81	5961376.189	Current Z-Ratio	0	0.865
3	14:32:06	-0.010	0.000	0.000	0.850	0.000	0.000	-0.000	0.000	0.000	PreCon Rise	Ready	Ready	Fundamental  Frequency	81	5961376.192	Current Z-Ratio	0	0.865
4	14:32:07	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.199	Current Z-Ratio	0	0.865
5	14:32:08	-0.010	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.203	Current Z-Ratio	0	0.865
6	14:32:09	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.206	Current Z-Ratio	0	0.865
7	14:32:10	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.213	Current Z-Ratio	0	0.865
8	14:32:11	-0.010	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.220	Current Z-Ratio	0	0.865
9	14:32:12	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.220	Current Z-Ratio	0	0.865
10	14:32:13	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.227	Current Z-Ratio	0	0.865
11	14:32:14	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.231	Current Z-Ratio	0	0.865
12	14:32:15	-0.010	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.238	Current Z-Ratio	0	0.865
13	14:32:16	-0.010	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.241	Current Z-Ratio	0	0.865
14	14:32:17	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.245	Current Z-Ratio	0	0.865
15	14:32:18	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.248	Current Z-Ratio	0	0.865
16	14:32:19	-0.010	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.255	Current Z-Ratio	0	0.865
17	14:32:20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.262	Current Z-Ratio	0	0.865
18	14:32:21	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.262	Current Z-Ratio	0	0.865
19	14:32:22	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.266	Current Z-Ratio	0	0.865
20	14:32:23	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.276	Current Z-Ratio	0	0.865
21	14:32:24	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.283	Current Z-Ratio	0	0.865
22	14:32:25	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.283	Current Z-Ratio	0	0.865
23	14:32:26	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.287	Current Z-Ratio	0	0.865
24	14:32:27	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.290	Current Z-Ratio	0	0.865
25	14:32:28	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.297	Current Z-Ratio	0	0.865
26	14:32:29	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.301	Current Z-Ratio	0	0.865
27	14:32:30	-0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.308	Current Z-Ratio	0	0.865
28	14:32:31	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.311	Current Z-Ratio	0	0.865
29	14:32:32	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	Fundamental  Frequency	81	5961376.315	Current Z-Ratio	0	0.865
30	14:32:33	0.000	-0.001	0.000	0.200	0.018	0.000	0.000	-0.000	0.000	PreCon Rise	PreCon Rise	Ready	5961376.322	Fundamental  Frequency	5945017.990	0.865	Current Z-Ratio	1.450
31	14:32:34	0.001	-0.001	-0.000	0.600	0.110	0.600	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	5945017.986	5961376.325	5956027.756	1.450	0.865	1.000
32	14:32:35	-0.001	-0.001	-0.000	1.000	0.202	1.200	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	5945017.990	5961376.332	5956027.759	1.450	0.865	1.000
33	14:32:36	-0.000	-0.001	-0.000	1.400	0.293	1.800	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	5945017.990	5961376.335	5956027.759	1.450	0.865	1.000
34	14:32:37	0.001	-0.001	-0.000	1.800	0.385	2.400	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	5945017.986	5961376.339	5956027.759	1.450	0.865	1.000
35	14:32:38	0.000	-0.001	-0.000	2.200	0.477	3.000	0.000	-0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	5945017.986	5961376.342	5956027.763	1.450	0.865	1.000
