	Pixel	HATCN	TAPC	CBP	TxOPhCz	(tBu)3Cl-BsubPc	B3PYMPM	LiQ	Al
0	A1	113.13675224416517	260.71441018303574	151.01599103092784	45.87689808977035	1.1828615706207828	444.1739325623932	11.214712665847665	801.444119283871
1	A2	110.73459784560143	269.76449946875	154.35619721649482	44.18174151356994	1.1714057001754385	461.49818897264953	11.112255663390663	791.9087644451613
2	A3	108.33244344703769	278.8145887544643	157.69640340206186	42.48658493736952	1.1599498297300945	478.822445382906	11.00979866093366	782.3734096064516
3	A4	105.93028904847397	287.8646780401786	161.03660958762885	40.7914283611691	1.1484939592847505	496.1467017931624	10.907341658476659	772.8380547677419
4	A5	103.52813464991023	296.91476732589285	164.37681577319586	39.096271784968685	1.1370380888394063	513.4709582034188	10.804884656019656	763.3026999290322
5	B1	107.98953500897666	272.43948161160716	152.76423845360824	43.49293149269311	1.2775457541565451	456.7137599128204	10.597218808353807	691.1340805741935
6	B2	105.58738061041292	281.4895708973214	156.10444463917526	41.7977749164927	1.2660898837112011	474.03801632307693	10.494761805896804	681.5987257354839
7	B3	103.1852262118492	290.5396601830357	159.44465082474224	40.102618340292274	1.254634013265857	491.3622727333334	10.392304803439801	672.0633708967742
8	B4	100.78307181328546	299.58974946875	162.78485701030928	38.40746176409186	1.2431781428205129	508.6865291435897	10.2898478009828	662.5280160580645
9	B5	98.38091741472172	308.6398387544643	166.1250631958763	36.712305187891445	1.2317222723751688	526.0107855538461	10.187390798525797	652.9926612193549
10	C1	101.57660861759425	287.04776732589283	154.94238278350514	40.522743601252614	1.3955129336437246	472.3371513658119	9.827882199017198	553.6986225096774
11	C2	99.17445421903052	296.09785661160714	158.28258896907215	38.827587025052196	1.3840570631983804	489.66140777606836	9.725425196560197	544.1632676709677
12	C3	96.77229982046678	305.1479458973214	161.62279515463916	37.13243044885177	1.3726011927530364	506.98566418632475	9.622968194103194	534.6279128322581
13	C4	94.37014542190305	314.1980351830357	164.96300134020618	35.43727387265136	1.3611453223076924	524.3099205965812	9.520511191646191	525.0925579935484
14	C5	91.96799102333932	323.24812446875	168.3032075257732	33.74211729645094	1.3496894518623481	541.6341770068376	9.418054189189188	515.5572031548387
15	D1	96.42939138240575	298.77283875446426	156.69063020618555	38.13877700417537	1.490197117179487	484.8769787162393	9.210388341523341	443.38858380000005
16	D2	94.02723698384202	307.82292804017857	160.03083639175256	36.44362042797495	1.478741246734143	502.20123512649565	9.107931339066338	433.85322896129037
17	D3	91.62508258527828	316.8730173258928	163.37104257731957	34.74846385177453	1.467285376288799	519.5254915367522	9.005474336609335	424.31787412258063
18	D4	89.22292818671454	325.9231066116071	166.71124876288658	33.05330727557411	1.4558295058434547	536.8497479470085	8.903017334152333	414.782519283871
19	D5	86.82077378815082	334.9731958973214	170.0514549484536	31.3581506993737	1.4443736353981107	554.174004357265	8.80056033169533	405.2471644451613
