	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Filtered Rate: OcO-BsubPc	Source Power: CBP	Source Power: TxOPhCz	Source Power: OcO-BsubPc	Thickness: CBP	Thickness: TxOPhCz	Thickness: OcO-BsubPc	State: CBP	State: TxOPhCz	State: OcO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Fundamental  Frequency: OcO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz	Current Z-Ratio: OcO-BsubPc
0	11:40:48	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	1	1	1	000.000	000.000	000.000
1	11:40:49	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	1	1	1	000.000	000.000	000.000
2	11:40:50	0.000	0.000	0.000	0.120	0.000	0.000	0.000	0.000	0.000	PreCon Rise	Ready	Ready	1	1	1	000.000	000.000	000.000
3	11:40:51	0.000	0.000	0.001	0.520	0.092	0.480	0.000	0.000	-0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	785
4	11:40:52	0.000	0.000	0.000	0.920	0.183	1.080	0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	788
5	11:40:53	0.001	0.000	0.000	1.320	0.275	1.680	0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	785
6	11:40:54	-0.001	0.000	0.000	1.720	0.367	2.280	0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	787
7	11:40:55	0.000	0.000	-0.000	2.120	0.458	2.880	0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	788
8	11:40:56	0.001	0.000	-0.000	2.520	0.550	3.480	0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	787
9	11:40:57	-0.001	-0.000	-0.000	2.920	0.642	4.080	0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	787
