	Timestamp	Filtered Rate: CBP	Filtered Rate: OcO-BsubPc	Source Power: CBP	Source Power: OcO-BsubPc	Thickness: CBP	Thickness: OcO-BsubPc	State: CBP	State: OcO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: OcO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: OcO-BsubPc
0	14:04:30	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
1	14:04:31	0.000	-0.000	0.320	0.300	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
2	14:04:32	0.000	0.000	0.720	0.900	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
3	14:04:33	0.001	0.000	1.120	1.500	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
4	14:04:34	0.000	0.000	1.520	2.100	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
5	14:04:35	0.001	0.000	1.920	2.700	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
6	14:04:36	0.000	0.000	2.320	3.300	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
7	14:04:37	0.001	-0.000	2.720	3.900	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
8	14:04:38	-0.001	-0.000	3.120	4.500	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
9	14:04:39	0.001	-0.000	3.520	5.100	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	788
10	14:04:40	0.001	-0.000	3.920	5.700	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
11	14:04:41	0.000	-0.000	4.320	6.300	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
12	14:04:42	0.000	-0.000	4.720	6.900	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	784
13	14:04:43	0.000	-0.000	5.120	7.500	0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
14	14:04:44	0.001	-0.000	5.520	8.100	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
15	14:04:45	0.000	-0.000	5.920	8.700	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	788
16	14:04:46	-0.001	-0.000	6.320	9.300	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
17	14:04:47	0.001	-0.000	6.720	9.900	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
18	14:04:48	0.001	-0.000	7.120	10.500	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
19	14:04:49	0.000	-0.000	7.520	11.100	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
20	14:04:50	-0.001	-0.000	7.920	11.700	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
21	14:04:51	0.001	-0.000	8.320	12.300	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
22	14:04:52	0.000	-0.000	8.720	12.900	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
23	14:04:53	0.000	-0.000	9.120	13.500	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
24	14:04:54	0.001	-0.000	9.520	14.100	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
25	14:04:55	-0.001	-0.000	9.920	14.700	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	785
26	14:04:56	0.000	-0.000	10.320	15.300	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	785
27	14:04:57	0.000	-0.000	10.720	15.900	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	785
28	14:04:58	0.000	-0.000	11.120	16.500	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
29	14:04:59	0.000	-0.000	11.520	17.100	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
30	14:05:00	-0.001	-0.000	11.920	17.700	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
31	14:05:01	0.000	-0.000	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
32	14:05:02	0.000	-0.000	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
33	14:05:03	0.001	-0.000	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
34	14:05:04	0.000	-0.000	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	785
35	14:05:05	-0.001	-0.000	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
36	14:05:06	0.000	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
37	14:05:07	0.000	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	785
38	14:05:08	-0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
39	14:05:09	-0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
40	14:05:10	-0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
41	14:05:11	-0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	785
42	14:05:12	-0.001	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
43	14:05:13	0.000	-0.002	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
