	Pixel	HATCN	TAPC	CBP	OcO-BsubPc	B3PYMPM	LiQ	Al
0	A1	114.26811976660682	261.58636473214284	186.8822889007732	2.0367978607658896	444.1739325623932	8.676262453933047	548.7011208822581
1	A2	111.84194382405745	270.666721875	191.01579405541236	2.0170717212109097	461.49818897264953	8.596996593982187	542.1728305596774
2	A3	109.41576788150807	279.7470790178571	195.14929921005154	1.99734558165593	478.822445382906	8.517730734031327	535.6445402370967
3	A4	106.98959193895871	288.8274361607143	199.2828043646907	1.9776194421009505	496.1467017931624	8.438464874080468	529.1162499145162
4	A5	104.56341599640933	297.9077933035714	203.41630951932987	1.9578933025459708	513.4709582034188	8.359199014129608	522.5879595919355
5	B1	109.06943035906643	273.3506504464286	189.0457450863402	2.1998368395136683	456.7137599128204	8.198538331082924	473.1783983016129
6	B2	106.64325441651707	282.4310075892857	193.17925024097937	2.1801106999586883	474.03801632307693	8.119272471132064	466.6501079790322
7	B3	104.21707847396769	291.51136473214285	197.31275539561852	2.1603845604037093	491.3622727333334	8.040006611181203	460.12181765645164
8	B4	101.79090253141833	300.59172187499996	201.4462605502577	2.1406584208487294	508.6865291435897	7.960740751230345	453.59352733387095
9	B5	99.36472658886895	309.67207901785713	205.57976570489691	2.1209322812937494	526.0107855538461	7.881474891279485	447.0652370112903
10	C1	102.5923747037702	288.0077933035714	191.7411986945876	2.40296737041254	472.3371513658119	7.6033410632696565	379.0845144306452
11	C2	100.16619876122083	297.0881504464286	195.8747038492268	2.38324123085756	489.66140777606836	7.524075203318797	372.5562241080645
12	C3	97.74002281867146	306.1685075892857	200.00820900386597	2.36351509130258	506.98566418632475	7.444809343367937	366.02793378548387
13	C4	95.31384687612208	315.24886473214286	204.14171415850512	2.3437889517476007	524.3099205965812	7.365543483417077	359.4996434629033
14	C5	92.88767093357272	324.32922187500003	208.2752193131443	2.3240628121926212	541.6341770068376	7.2862776234662165	352.9713531403226
15	D1	97.3936852962298	299.77207901785715	193.90465488015462	2.5660063491603187	484.8769787162393	7.125616940419535	303.56179185
16	D2	94.96750935368044	308.8524361607143	198.0381600347938	2.5462802096053387	502.20123512649565	7.046351080468674	297.0335015274194
17	D3	92.54133341113106	317.93279330357143	202.17166518943296	2.5265540700503593	519.5254915367522	6.967085220517814	290.5052112048387
18	D4	90.1151574685817	327.0131504464286	206.30517034407214	2.5068279304953798	536.8497479470085	6.8878193605669535	283.97692088225807
19	D5	87.68898152603232	336.09350758928565	210.43867549871135	2.4871017909404	554.174004357265	6.808553500616093	277.44863055967744
