	Pixel	HATCN	TAPC	CBP	TxOPhCz	EtO-BsubPc	B3PYMPM	LiQ	Al
0	A1	113.13675224416517	260.71441018303574	150.07214108698454	45.87689808977035	1.7517186618353575	524.2854634854701	11.214712665847665	815.8491606435484
1	A2	110.73459784560143	269.76449946875	153.39147098389174	44.18174151356994	1.7347534796491226	544.7343352803418	11.112255663390663	806.1424187080645
2	A3	108.33244344703769	278.8145887544643	156.71080088079896	42.48658493736952	1.717788297462888	565.1832070752137	11.00979866093366	796.4356767725806
3	A4	105.93028904847397	287.8646780401786	160.03013077770618	40.7914283611691	1.7008231152766533	585.6320788700855	10.907341658476659	786.7289348370967
4	A5	103.52813464991023	296.91476732589285	163.3494606746134	39.096271784968685	1.6838579330904184	606.0809506649573	10.804884656019656	777.0221929016128
5	B1	107.98953500897666	272.43948161160716	151.80946196327318	43.49293149269311	1.891937987071525	539.0869831435897	10.597218808353807	703.5564251596774
6	B2	105.58738061041292	281.4895708973214	155.1287918601804	41.7977749164927	1.87497280488529	559.5358549384615	10.494761805896804	693.8496832241934
7	B3	103.1852262118492	290.5396601830357	158.44812175708762	40.102618340292274	1.8580076226990554	579.9847267333333	10.392304803439801	684.1429412887096
8	B4	100.78307181328546	299.58974946875	161.76745165399484	38.40746176409186	1.8410424405128205	600.4335985282052	10.2898478009828	674.4361993532258
9	B5	98.38091741472172	308.6398387544643	165.08678155090206	36.712305187891445	1.8240772583265858	620.8824703230769	10.187390798525797	664.729457417742
10	C1	101.57660861759425	287.04776732589283	153.97399289110822	40.522743601252614	2.066637474251012	557.5282207504273	9.827882199017198	563.650721933871
11	C2	99.17445421903052	296.09785661160714	157.29332278801544	38.827587025052196	2.049672292064777	577.9770925452991	9.725425196560197	553.943979998387
12	C3	96.77229982046678	305.1479458973214	160.6126526849227	37.13243044885177	2.032707109878542	598.4259643401709	9.622968194103194	544.2372380629032
13	C4	94.37014542190305	314.1980351830357	163.93198258182989	35.43727387265136	2.0157419276923076	618.8748361350428	9.520511191646191	534.5304961274194
14	C5	91.96799102333932	323.24812446875	167.2513124787371	33.74211729645094	1.9987767455060728	639.3237079299145	9.418054189189188	524.8237541919356
15	D1	96.42939138240575	298.77283875446426	155.7113137673969	38.13877700417537	2.2068567994871793	572.329740408547	9.210388341523341	451.35798645000006
16	D2	94.02723698384202	307.82292804017857	159.0306436643041	36.44362042797495	2.1898916173009444	592.7786122034187	9.107931339066338	441.6512445145161
17	D3	91.62508258527828	316.8730173258928	162.34997356121133	34.74846385177453	2.17292643511471	613.2274839982906	9.005474336609335	431.94450257903225
18	D4	89.22292818671454	325.9231066116071	165.66930345811855	33.05330727557411	2.155961252928475	633.6763557931623	8.903017334152333	422.2377606435484
19	D5	86.82077378815082	334.9731958973214	168.98863335502577	31.3581506993737	2.13899607074224	654.1252275880341	8.80056033169533	412.5310187080645
