	Timestamp	Filtered Rate: CBP	Filtered Rate: EtO-BsubPc	Source Power: CBP	Source Power: EtO-BsubPc	Thickness: CBP	Thickness: EtO-BsubPc	State: CBP	State: EtO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: EtO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: EtO-BsubPc
0	11:54:26	0.000	0.000	0.000	0.000	-0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
1	11:54:27	0.001	0.000	0.000	0.000	-0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
2	11:54:28	-0.001	0.000	0.160	0.120	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	785
3	11:54:29	0.001	0.001	0.560	0.720	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
4	11:54:30	-0.000	0.000	0.960	1.320	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
5	11:54:31	-0.000	0.000	1.360	1.920	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
6	11:54:32	0.001	0.000	1.760	2.520	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
7	11:54:33	0.001	-0.000	2.160	3.120	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
8	11:54:34	-0.001	-0.000	2.560	3.720	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
9	11:54:35	0.001	0.000	2.960	4.320	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
10	11:54:36	0.000	-0.000	3.360	4.920	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
11	11:54:37	0.001	-0.000	3.760	5.520	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	785
12	11:54:38	0.000	-0.000	4.160	6.120	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
13	11:54:39	0.000	-0.000	4.560	6.720	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	788
14	11:54:40	0.001	-0.000	4.960	7.320	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	785
