	Pixel	HATCN	TAPC	CBP	EtO-BsubPc	B3PYMPM	LiQ	Al
0	A1	113.13675224416517	260.71441018303574	187.8261388447165	1.3002447799190282	444.1739325623932	11.214712665847665	658.7032549016129
1	A2	110.73459784560143	269.76449946875	191.98052028801544	1.2876520673684209	461.49818897264953	11.112255663390663	650.8661903854838
2	A3	108.33244344703769	278.8145887544643	196.13490173131441	1.2750593548178135	478.822445382906	11.00979866093366	643.0291258693549
3	A4	105.93028904847397	287.8646780401786	200.28928317461336	1.2624666422672066	496.1467017931624	10.907341658476659	635.1920613532259
4	A5	103.52813464991023	296.91476732589285	204.44366461791236	1.2498739297165993	513.4709582034188	10.804884656019656	627.3549968370968
5	B1	107.98953500897666	272.43948161160716	190.00052157667523	1.4043251038056679	456.7137599128204	10.597218808353807	568.0399387725806
6	B2	105.58738061041292	281.4895708973214	194.1549030199742	1.3917323912550605	474.03801632307693	10.494761805896804	560.2028742564515
7	B3	103.1852262118492	290.5396601830357	198.30928446327317	1.3791396787044534	491.3622727333334	10.392304803439801	552.3658097403226
8	B4	100.78307181328546	299.58974946875	202.46366590657215	1.366546966153846	508.6865291435897	10.2898478009828	544.5287452241936
9	B5	98.38091741472172	308.6398387544643	206.61804734987112	1.353954253603239	526.0107855538461	10.187390798525797	536.6916807080645
10	C1	101.57660861759425	287.04776732589283	192.7095885869845	1.533998949959514	472.3371513658119	9.827882199017198	455.0823645790323
11	C2	99.17445421903052	296.09785661160714	196.86397003028347	1.5214062374089066	489.66140777606836	9.725425196560197	447.2453000629032
12	C3	96.77229982046678	305.1479458973214	201.01835147358247	1.5088135248582992	506.98566418632475	9.622968194103194	439.4082355467742
13	C4	94.37014542190305	314.1980351830357	205.17273291688142	1.4962208123076923	524.3099205965812	9.520511191646191	431.57117103064525
14	C5	91.96799102333932	323.24812446875	209.3271143601804	1.483628099757085	541.6341770068376	9.418054189189188	423.73410651451616
15	D1	96.42939138240575	298.77283875446426	194.88397131894328	1.6380792738461536	484.8769787162393	9.210388341523341	364.41904845000005
16	D2	94.02723698384202	307.82292804017857	199.03835276224225	1.6254865612955463	502.20123512649565	9.107931339066338	356.581983933871
17	D3	91.62508258527828	316.8730173258928	203.1927342055412	1.6128938487449391	519.5254915367522	9.005474336609335	348.7449194177419
18	D4	89.22292818671454	325.9231066116071	207.34711564884017	1.6003011361943318	536.8497479470085	8.903017334152333	340.90785490161295
19	D5	86.82077378815082	334.9731958973214	211.50149709213918	1.5877084236437247	554.174004357265	8.80056033169533	333.07079038548386
