	Timestamp	Filtered Rate: CBP	Filtered Rate: TxOPhCz	Filtered Rate: tBuO-BsubPc	Source Power: CBP	Source Power: TxOPhCz	Source Power: tBuO-BsubPc	Thickness: CBP	Thickness: TxOPhCz	Thickness: tBuO-BsubPc	State: CBP	State: TxOPhCz	State: tBuO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: TxOPhCz	Fundamental  Frequency: tBuO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: TxOPhCz	Current Z-Ratio: tBuO-BsubPc
0	13:34:35	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	1	1	1	000.000	000.000	000.000
1	13:34:36	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	Ready	1	1	1	000.000	000.000	000.000
2	13:34:37	0.000	0.000	0.000	0.040	0.000	0.000	0.000	0.000	0.000	PreCon Rise	Ready	Ready	1	1	1	000.000	000.000	000.000
3	13:34:38	0.000	0.000	0.002	0.440	0.073	0.300	0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	787
4	13:34:39	0.000	0.000	0.001	0.840	0.165	0.900	0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
5	13:34:40	0.001	0.000	0.000	1.240	0.257	1.500	0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	789
6	13:34:41	0.001	0.000	0.000	1.640	0.348	2.100	0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	787
7	13:34:42	0.001	0.000	0.000	2.040	0.440	2.700	0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
8	13:34:43	0.001	0.000	0.000	2.440	0.532	3.300	0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
9	13:34:44	0.000	0.000	0.000	2.840	0.623	3.900	0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
10	13:34:45	0.000	-0.000	-0.000	3.240	0.715	4.500	0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	788
11	13:34:46	0.000	0.000	-0.000	3.640	0.807	5.100	0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	787
12	13:34:47	-0.000	0.000	-0.000	4.040	0.898	5.700	0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
13	13:34:48	0.000	0.000	-0.000	4.440	0.990	6.300	0.000	0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	787
14	13:34:49	0.000	0.000	-0.000	4.840	1.082	6.900	0.000	-0.000	0.000	PreCon Rise	PreCon Rise	PreCon Rise	Sensor Status	1	00	Fundamental Activity	000.000	786
