	Timestamp	Filtered Rate: CBP	Filtered Rate: tBuO-BsubPc	Source Power: CBP	Source Power: tBuO-BsubPc	Thickness: CBP	Thickness: tBuO-BsubPc	State: CBP	State: tBuO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: tBuO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: tBuO-BsubPc
0	12:05:03	0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
1	12:05:04	-0.000	0.000	0.000	0.000	0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
2	12:05:05	-0.000	-0.002	0.320	0.240	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
3	12:05:06	-0.000	-0.001	0.720	0.840	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
4	12:05:07	0.000	-0.001	1.120	1.440	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	785
5	12:05:08	-0.000	-0.001	1.520	2.040	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
6	12:05:09	0.000	-0.001	1.920	2.640	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
7	12:05:10	-0.000	-0.000	2.320	3.240	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
8	12:05:11	-0.000	-0.001	2.720	3.840	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	788
9	12:05:12	0.000	-0.000	3.120	4.440	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	785
10	12:05:13	0.000	-0.000	3.520	5.040	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	785
11	12:05:14	0.000	-0.000	3.920	5.640	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	785
12	12:05:15	0.000	-0.000	4.320	6.240	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
13	12:05:16	0.000	-0.000	4.720	6.840	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
14	12:05:17	-0.000	-0.000	5.120	7.440	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
15	12:05:18	-0.000	-0.000	5.520	8.040	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
16	12:05:19	-0.001	-0.000	5.920	8.640	0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
17	12:05:20	-0.000	-0.000	6.320	9.240	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
18	12:05:21	-0.000	-0.000	6.720	9.840	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
19	12:05:22	-0.000	-0.000	7.120	10.440	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
20	12:05:23	0.000	-0.000	7.520	11.040	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	788
21	12:05:24	-0.000	-0.000	7.920	11.640	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	785
22	12:05:25	-0.000	-0.000	8.320	12.240	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	789
23	12:05:26	-0.000	-0.000	8.720	12.840	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	785
24	12:05:27	-0.000	-0.000	9.120	13.440	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
25	12:05:28	-0.000	-0.000	9.520	14.040	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
26	12:05:29	-0.000	-0.000	9.920	14.640	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	785
27	12:05:30	-0.000	-0.000	10.320	15.240	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	787
28	12:05:31	0.000	-0.000	10.720	15.840	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
29	12:05:32	0.000	-0.000	11.120	16.440	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
30	12:05:33	0.000	-0.000	11.520	17.040	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
31	12:05:34	0.000	-0.000	11.920	17.640	-0.000	-0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	786
32	12:05:35	0.000	-0.000	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
33	12:05:36	0.000	-0.000	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
34	12:05:37	0.001	-0.000	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
35	12:05:38	0.001	-0.000	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	789
36	12:05:39	0.001	-0.000	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	784
37	12:05:40	0.001	-0.000	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	788
38	12:05:41	0.000	-0.000	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
39	12:05:42	0.000	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	790
40	12:05:43	0.000	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	787
41	12:05:44	0.000	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	784
42	12:05:45	-0.000	-0.001	12.000	18.000	0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
43	12:05:46	-0.000	-0.001	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
44	12:05:47	-0.000	-0.001	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	788
45	12:05:48	-0.001	-0.002	12.000	18.000	-0.000	-0.000	PreCon Soak	PreCon Soak	Sensor Status	00	Fundamental Activity	786
