	Pixel	HATCN	TAPC	CBP	tBuO-BsubPc	B3PYMPM	LiQ	Al
0	A1	114.26811976660682	261.58636473214284	186.8822889007732	1.7607481394736841	445.0640606837607	11.214712665847665	834.1828496467742
1	A2	111.84194382405745	270.666721875	191.01579405541236	1.7436955078947367	462.423035042735	11.112255663390663	824.2579786790322
2	A3	109.41576788150807	279.7470790178571	195.14929921005154	1.7266428763157893	479.7820094017094	11.00979866093366	814.3331077112903
3	A4	106.98959193895871	288.8274361607143	199.2828043646907	1.7095902447368423	497.1409837606837	10.907341658476659	804.4082367435484
4	A5	104.56341599640933	297.9077933035714	203.41630951932987	1.6925376131578949	514.4999581196581	10.804884656019656	794.4833657758064
5	B1	109.06943035906643	273.3506504464286	189.0457450863402	1.901690244736842	457.6290179487179	10.597218808353807	719.3666819048386
6	B2	106.64325441651707	282.4310075892857	193.17925024097937	1.8846376131578946	474.9879923076923	10.494761805896804	709.4418109370966
7	B3	104.21707847396769	291.51136473214285	197.31275539561852	1.8675849815789476	492.3469666666667	10.392304803439801	699.5169399693548
8	B4	101.79090253141833	300.59172187499996	201.4462605502577	1.8505323500000002	509.705941025641	10.2898478009828	689.5920690016128
9	B5	99.36472658886895	309.67207901785713	205.57976570489691	1.8334797184210527	527.0649153846153	10.187390798525797	679.6671980338709
10	C1	102.5923747037702	288.0077933035714	191.7411986945876	2.077290244736842	473.28371880341876	9.827882199017198	576.3170302919355
11	C2	100.16619876122083	297.0881504464286	195.8747038492268	2.0602376131578946	490.6426931623932	9.725425196560197	566.3921593241935
12	C3	97.74002281867146	306.1685075892857	200.00820900386597	2.043184981578947	508.0016675213675	9.622968194103194	556.4672883564516
13	C4	95.31384687612208	315.24886473214286	204.14171415850512	2.02613235	525.3606418803419	9.520511191646191	546.5424173887097
14	C5	92.88767093357272	324.32922187500003	208.2752193131443	2.0090797184210527	542.7196162393162	9.418054189189188	536.6175464209678
15	D1	97.3936852962298	299.77207901785715	193.90465488015462	2.2182323499999996	485.84867606837605	9.210388341523341	461.50086255
16	D2	94.96750935368044	308.8524361607143	198.0381600347938	2.201179718421052	503.20765042735036	9.107931339066338	451.5759915822581
17	D3	92.54133341113106	317.93279330357143	202.17166518943296	2.184127086842105	520.5666247863247	9.005474336609335	441.6511206145161
18	D4	90.1151574685817	327.0131504464286	206.30517034407214	2.167074455263158	537.9255991452991	8.903017334152333	431.7262496467742
19	D5	87.68898152603232	336.09350758928565	210.43867549871135	2.1500218236842104	555.2845735042735	8.80056033169533	421.80137867903227
