	Pixel	HATCN	TAPC	CBP	TxOPhCz	F5PhO-BsubPc	B3PYMPM	LiQ	Al
0	A1	117.66222233393177	261.58636473214284	151.01599103092784	45.87689808977035	1.9404347444763834	457.525854382906	11.214712665847665	691.4419852645161
1	A2	115.16398175942548	270.666721875	154.35619721649482	44.18174151356994	1.9216418699824562	475.3708800239316	11.112255663390663	683.2154046193548
2	A3	112.6657411849192	279.7470790178571	157.69640340206186	42.48658493736952	1.902848995488529	493.2159056649573	11.00979866093366	674.9888239741935
3	A4	110.16750061041292	288.8274361607143	161.03660958762885	40.7914283611691	1.884056120994602	511.0609313059829	10.907341658476659	666.7622433290322
4	A5	107.66926003590663	297.9077933035714	164.37681577319586	39.096271784968685	1.8652632465006749	528.9059569470086	10.804884656019656	658.5356626838709
5	B1	112.30911640933573	273.3506504464286	152.76423845360824	43.49293149269311	2.0957601722766532	470.442630451282	10.597218808353807	596.2725401032258
6	B2	109.81087583482945	282.4310075892857	156.10444463917526	41.7977749164927	2.0769672977827263	488.28765609230766	10.494761805896804	588.0459594580644
7	B3	107.31263526032316	291.51136473214285	159.44465082474224	40.102618340292274	2.0581744232887993	506.13268173333336	10.392304803439801	579.8193788129032
8	B4	104.81439468581688	300.59172187499996	162.78485701030928	38.40746176409186	2.039381548794872	523.9777073743589	10.2898478009828	571.5927981677419
9	B5	102.3161541113106	309.67207901785713	166.1250631958763	36.712305187891445	2.020588674300945	541.8227330153845	10.187390798525797	563.3662175225807
10	C1	105.63967296229802	288.0077933035714	154.94238278350514	40.522743601252614	2.2892803774048582	486.5356629299145	9.827882199017198	477.7007723612903
11	C2	103.14143238779174	297.0881504464286	158.28258896907215	38.827587025052196	2.2704875029109313	504.3806885709402	9.725425196560197	469.474191716129
12	C3	100.64319181328545	306.1685075892857	161.62279515463916	37.13243044885177	2.251694628417004	522.2257142119657	9.622968194103194	461.24761107096776
13	C4	98.14495123877917	315.24886473214286	164.96300134020618	35.43727387265136	2.232901753923077	540.0707398529914	9.520511191646191	453.02103042580654
14	C5	95.64671066427289	324.32922187500003	168.3032075257732	33.74211729645094	2.21410887942915	557.915765494017	9.418054189189188	444.7944497806452
15	D1	100.28656703770197	299.77207901785715	156.69063020618555	38.13877700417537	2.444605805205128	499.4524389982906	9.210388341523341	382.5313272
16	D2	97.78832646319569	308.8524361607143	160.03083639175256	36.44362042797495	2.425812930711201	517.2974646393162	9.107931339066338	374.30474655483874
17	D3	95.2900858886894	317.93279330357143	163.37104257731957	34.74846385177453	2.407020056217274	535.1424902803419	9.005474336609335	366.0781659096774
18	D4	92.79184531418312	327.0131504464286	166.71124876288658	33.05330727557411	2.388227181723347	552.9875159213675	8.903017334152333	357.85158526451613
19	D5	90.29360473967684	336.09350758928565	170.0514549484536	31.3581506993737	2.3694343072294197	570.8325415623932	8.80056033169533	349.62500461935485
