	Pixel	HATCN	TAPC	CBP	F5PhO-BsubPc	B3PYMPM	LiQ	Al
0	A1	113.13675224416517	261.58636473214284	186.8822889007732	1.7968660500269904	445.0640606837607	11.214712665847665	326.07775441451616
1	A2	110.73459784560143	270.666721875	191.01579405541236	1.7794636208771928	462.423035042735	11.112255663390663	322.1981737693548
2	A3	108.33244344703769	279.7470790178571	195.14929921005154	1.7620611917273952	479.7820094017094	11.00979866093366	318.3185931241935
3	A4	105.93028904847397	288.8274361607143	199.2828043646907	1.744658762577598	497.1409837606837	10.907341658476659	314.4390124790323
4	A5	103.52813464991023	297.9077933035714	203.41630951932987	1.7272563334278004	514.4999581196581	10.804884656019656	310.559431833871
5	B1	107.98953500897666	273.3506504464286	189.0457450863402	1.9406992753981105	457.6290179487179	10.597218808353807	281.1967092532258
6	B2	105.58738061041292	282.4310075892857	193.17925024097937	1.9232968462483129	474.9879923076923	10.494761805896804	277.3171286080645
7	B3	103.1852262118492	291.51136473214285	197.31275539561852	1.9058944170985157	492.3469666666667	10.392304803439801	273.43754796290324
8	B4	100.78307181328546	300.59172187499996	201.4462605502577	1.888491987948718	509.705941025641	10.2898478009828	269.55796731774194
9	B5	98.38091741472172	309.67207901785713	205.57976570489691	1.8710895587989205	527.0649153846153	10.187390798525797	265.67838667258064
10	C1	101.57660861759425	288.0077933035714	191.7411986945876	2.1199013266801616	473.28371880341876	9.827882199017198	225.27934151129034
11	C2	99.17445421903052	297.0881504464286	195.8747038492268	2.102498897530364	490.6426931623932	9.725425196560197	221.39976086612901
12	C3	96.77229982046678	306.1685075892857	200.00820900386597	2.0850964683805664	508.0016675213675	9.622968194103194	217.52018022096775
13	C4	94.37014542190305	315.24886473214286	204.14171415850512	2.067694039230769	525.3606418803419	9.520511191646191	213.64059957580648
14	C5	91.96799102333932	324.32922187500003	208.2752193131443	2.0502916100809716	542.7196162393162	9.418054189189188	209.76101893064518
15	D1	96.42939138240575	299.77207901785715	193.90465488015462	2.263734552051282	485.84867606837605	9.210388341523341	180.39829635
16	D2	94.02723698384202	308.8524361607143	198.0381600347938	2.2463321229014843	503.20765042735036	9.107931339066338	176.5187157048387
17	D3	91.62508258527828	317.93279330357143	202.17166518943296	2.2289296937516867	520.5666247863247	9.005474336609335	172.63913505967741
18	D4	89.22292818671454	327.0131504464286	206.30517034407214	2.211527264601889	537.9255991452991	8.903017334152333	168.75955441451615
19	D5	86.82077378815082	336.09350758928565	210.43867549871135	2.1941248354520915	555.2845735042735	8.80056033169533	164.87997376935485
