	Pixel	HATCN	TAPC	CBP	Cl-BsubPc	B3PYMPM	LiQ	Al
0	A1	113.13675224416517	261.58636473214284	186.8822889007732	1.787836572388664	382.7550921880342	11.214712665847665	640.3695658983871
1	A2	110.73459784560143	270.666721875	191.01579405541236	1.770521592631579	397.68381013675213	11.112255663390663	632.7506304145161
2	A3	108.33244344703769	279.7470790178571	195.14929921005154	1.7532066128744939	412.61252808547016	11.00979866093366	625.1316949306452
3	A4	105.93028904847397	288.8274361607143	199.2828043646907	1.735891633117409	427.5412460341881	10.907341658476659	617.5127594467742
4	A5	103.52813464991023	297.9077933035714	203.41630951932987	1.718576653360324	442.46996398290605	10.804884656019656	609.8938239629032
5	B1	107.98953500897666	273.3506504464286	189.0457450863402	1.9309470177327934	393.5609554358974	10.597218808353807	552.2296820274194
6	B2	105.58738061041292	282.4310075892857	193.17925024097937	1.9136320379757084	408.4896733846154	10.494761805896804	544.6107465435483
7	B3	103.1852262118492	291.51136473214285	197.31275539561852	1.8963170582186235	423.41839133333343	10.392304803439801	536.9918110596774
8	B4	100.78307181328546	300.59172187499996	201.4462605502577	1.8790020784615384	438.3471092820513	10.2898478009828	529.3728755758065
9	B5	98.38091741472172	309.67207901785713	205.57976570489691	1.8616870987044534	453.2758272307692	10.187390798525797	521.7539400919355
10	C1	101.57660861759425	288.0077933035714	191.7411986945876	2.109248556194332	407.02399817094016	9.827882199017198	442.4160562209678
11	C2	99.17445421903052	297.0881504464286	195.8747038492268	2.091933576437247	421.9527161196582	9.725425196560197	434.79712073709675
12	C3	96.77229982046678	306.1685075892857	200.00820900386597	2.074618596680162	436.8814340683761	9.622968194103194	427.1781852532258
13	C4	94.37014542190305	315.24886473214286	204.14171415850512	2.0573036169230767	451.8101520170941	9.520511191646191	419.5592497693549
14	C5	91.96799102333932	324.32922187500003	208.2752193131443	2.0399886371659917	466.738869965812	9.418054189189188	411.9403142854839
15	D1	96.42939138240575	299.77207901785715	193.90465488015462	2.252359001538461	417.82986141880343	9.210388341523341	354.2761723500001
16	D2	94.02723698384202	308.8524361607143	198.0381600347938	2.235044021781376	432.75857936752135	9.107931339066338	346.65723686612904
17	D3	91.62508258527828	317.93279330357143	202.17166518943296	2.2177290420242914	447.6872973162393	9.005474336609335	339.03830138225806
18	D4	89.22292818671454	327.0131504464286	206.30517034407214	2.2004140622672064	462.61601526495724	8.903017334152333	331.4193658983871
19	D5	86.82077378815082	336.09350758928565	210.43867549871135	2.1830990825101213	477.5447332136753	8.80056033169533	323.80043041451614
