	Pixel	HATCN	TAPC	CBP	TxOPhCz	F3EtO-BsubPc	CBP	B3PYMPM	LiQ	Al
0	A1	112.1684359880386	263.12768887438517	150.92396976387542	45.94869160151897	1.8156649929255917	150.92396976387542	443.04747099775716	11.215370570969124	522.497608123864
1	A2	109.78853075351428	272.2418146056675	154.2617143827433	44.25054517749942	1.7980804983002519	154.2617143827433	460.3690931379828	11.113094230347425	516.2767515524852
2	A3	107.40862551898995	281.3559403369498	157.59945900161117	42.552398753479864	1.7804960036749118	157.59945900161117	477.6907152782084	11.010817889725725	510.05589498110646
3	A4	105.02872028446563	290.47006606823214	160.93720362047904	40.85425232946031	1.7629115090495722	160.93720362047904	495.0123374184342	10.908541549104024	503.83503840972764
4	A5	102.6488150499413	299.58419179951443	164.2749482393469	39.156105905440754	1.7453270144242323	164.2749482393469	512.3339595586599	10.806265208482325	497.6141818383488
5	B1	107.07540321208728	274.9192442547416	152.67109678473798	43.55816964836296	1.9610030119292883	152.67109678473798	455.562733120695	10.597032542799036	450.5820045454879
6	B2	104.69549797756295	284.0333699860239	156.00884140360586	41.86002322434341	1.9434185173039482	156.00884140360586	472.88435526092064	10.494756202177337	444.3611479741091
7	B3	102.31559274303864	293.1474957173062	159.34658602247373	40.16187680032385	1.9258340226786086	159.34658602247373	490.2059774011463	10.392479861555637	438.14029140273027
8	B4	99.9356875085143	302.2616214485885	162.6843306413416	38.4637303763043	1.9082495280532688	162.6843306413416	507.527599541372	10.290203520933938	431.9194348313515
9	B5	97.55578227398999	311.3757471798708	166.02207526020945	36.765583952284736	1.890665033427929	166.02207526020945	524.8492216815976	10.187927180312236	425.69857825997263
10	C1	100.72998532729547	289.61036243354624	154.8478452041733	40.579814428037444	2.142079888065041	154.8478452041733	471.15551871648637	9.826644179833027	360.9822361527569
11	C2	98.35008009277114	298.7244881648286	158.18558982304117	38.88166800401788	2.1244953934397013	158.18558982304117	488.477140856712	9.724367839211327	354.76137958137815
12	C3	95.97017485824679	307.83861389611087	161.52333444190904	37.18352157999833	2.106910898814361	161.52333444190904	505.7987629969377	9.622091498589628	348.54052300999933
13	C4	93.59026962372249	316.95273962739316	164.8610790607769	35.48537515597877	2.0893264041890216	164.8610790607769	523.1203851371633	9.519815157967926	342.3196664386205
14	C5	91.21036438919815	326.0668653586755	168.19882367964476	33.78722873195921	2.0717419095636815	168.19882367964476	540.442007277389	9.417538817346228	336.0988098672417
15	D1	95.63695255134412	301.4019178139026	156.59497222503586	38.18929247488143	2.2874179070687375	156.59497222503586	483.6707808394242	9.208306151662939	289.0666325743807
16	D2	93.2570473168198	310.5160435451849	159.93271684390373	36.49114605086187	2.269833412443398	159.93271684390373	500.99240297964985	9.10602981104124	282.84577600300196
17	D3	90.87714208229548	319.63016927646726	163.27046146277158	34.79299962684231	2.2522489178180582	163.27046146277158	518.3140251198755	9.003753470419541	276.62491943162314
18	D4	88.49723684777115	328.7442950077496	166.60820608163945	33.094853202822755	2.234664423192718	166.60820608163945	535.6356472601012	8.90147712979784	270.4040628602444
19	D5	86.11733161324683	337.8584207390319	169.9459507005073	31.396706778803203	2.217079928567378	169.9459507005073	552.9572694003268	8.79920078917614	264.1832062888655
