	Timestamp	Filtered Rate: CBP	Filtered Rate: F3EtO-BsubPc	Source Power: CBP	Source Power: F3EtO-BsubPc	Thickness: CBP	Thickness: F3EtO-BsubPc	State: CBP	State: F3EtO-BsubPc	Fundamental  Frequency: CBP	Fundamental  Frequency: F3EtO-BsubPc	Current Z-Ratio: CBP	Current Z-Ratio: F3EtO-BsubPc
0	11:53:08	0.000	0.000	0.000	0.000	-0.000	0.000	Ready	Ready	1	Sensor Status	000.000	Fundamental Activity
1	11:53:09	0.000	0.000	0.080	0.000	-0.000	0.000	PreCon Rise	Ready	1	Sensor Status	000.000	Fundamental Activity
2	11:53:10	0.000	0.001	0.480	0.540	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	665
3	11:53:11	0.001	0.000	0.880	1.140	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	665
4	11:53:12	-0.001	0.000	1.280	1.740	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	665
5	11:53:13	-0.001	-0.000	1.680	2.340	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	666
6	11:53:14	0.000	-0.000	2.080	2.940	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	665
7	11:53:15	0.001	-0.000	2.480	3.540	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	667
8	11:53:16	-0.001	-0.000	2.880	4.140	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	666
9	11:53:17	0.000	-0.000	3.280	4.740	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	666
10	11:53:18	0.000	-0.000	3.680	5.340	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	663
11	11:53:19	-0.001	-0.000	4.080	5.940	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	666
12	11:53:20	0.000	-0.000	4.480	6.540	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	665
13	11:53:21	0.000	-0.000	4.880	7.140	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	665
14	11:53:22	0.000	-0.000	5.280	7.740	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	665
15	11:53:23	-0.001	-0.000	5.680	8.340	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	666
16	11:53:24	0.001	-0.000	6.080	8.940	-0.000	0.000	PreCon Rise	PreCon Rise	Sensor Status	00	Fundamental Activity	665
