	Pixel	HATCN	TAPC	CBP	F3EtO-BsubPc	B3PYMPM	LiQ	Al
0	A1	113.3014504929683	264.8818734668811	185.82513777177164	1.8631629860633951	443.9353416811194	11.215370570969124	540.830857531719
1	A2	110.8975058116306	274.05676003637194	189.9347358337527	1.845118479151482	461.29167649096473	11.113094230347425	534.3917252911689
2	A3	108.49356113029289	283.23164660586275	194.04433389573376	1.8270739722395692	478.6480113008101	11.010817889725725	527.9525930506189
3	A4	106.0896164489552	292.4065331753537	198.15393195771483	1.8090294653276568	496.00434611065555	10.908541549104024	521.5134608100689
4	A5	103.68567176761749	301.5814197448445	202.26353001969588	1.7909849584157438	513.3606809205008	10.806265208482325	515.0743285695189
5	B1	108.15697294150232	276.7520392164398	187.97628791620866	2.012303063407257	456.47568448967434	10.597032542799036	466.3918994418208
6	B2	105.75302826016461	285.92692578593073	192.08588597818974	1.9942585564953443	473.8320192995197	10.494756202177337	459.9527672012708
7	B3	103.34908357882692	295.10181235542154	196.19548404017078	1.9762140495834317	491.18835410936504	10.392479861555637	453.51363496072076
8	B4	100.94513889748922	304.2766989249124	200.30508210215186	1.9581695426715189	508.54468891921044	10.290203520933938	447.0745027201708
9	B5	98.54119421615151	313.4515854944032	204.4146801641329	1.940125035759606	525.9010237290557	10.187927180312236	440.6353704796208
10	C1	101.74745992656108	291.5410981831032	190.6564094076384	2.198116930261905	472.099718152792	9.826644179833027	373.64827952653786
11	C2	99.34351524522339	300.71598475259407	194.76600746961944	2.180072423349992	489.45605296263733	9.724367839211327	367.2091472859879
12	C3	96.93957056388567	309.8908713220849	198.8756055316005	2.1620279164380793	506.8123877724827	9.622091498589628	360.7700150454379
13	C4	94.53562588254798	319.06575789157574	202.98520359358156	2.1439834095261667	524.1687225823281	9.519815157967926	354.33088280488784
14	C5	92.13168120121026	328.24064446106667	207.09480165556263	2.1259389026142537	541.5250573921734	9.417538817346228	347.8917505643379
15	D1	96.60298237509508	303.41126393266194	192.80755955207542	2.347257007605767	484.64006096134693	9.208306151662939	299.2093214366397
16	D2	94.19903769375739	312.5861505021528	196.91715761405646	2.329212500693854	501.9963957711923	9.10602981104124	292.77018919608975
17	D3	91.79509301241968	321.76103707164367	201.0267556760375	2.311167993781942	519.3527305810376	9.003753470419541	286.33105695553974
18	D4	89.39114833108198	330.93592364113454	205.13635373801858	2.2931234868700288	536.709065390883	8.90147712979784	279.8919247149898
19	D5	86.98720364974429	340.1108102106254	209.24595179999963	2.2750789799581157	554.0654002007283	8.79920078917614	273.4527924744398
