	Timestamp	Filtered Rate: Ag	Source Power: Ag	Thickness: Ag	State: Ag	Fundamental  Frequency: Ag	Current Z-Ratio: Ag
0	11:33:22	0.000	0.000	-0.000	Ready	5905634.175	2.112
1	11:33:22	0.012	0.080	-0.000	PreCon Rise	5905634.172	2.112
2	11:33:23	0.000	0.213	-0.000	PreCon Rise	5905634.165	2.112
3	11:33:24	0.000	0.347	-0.000	PreCon Rise	5905634.172	2.112
4	11:33:25	0.000	0.480	-0.000	PreCon Rise	5905634.175	2.112
5	11:33:26	0.016	0.613	-0.000	PreCon Rise	5905634.179	2.112
6	11:33:27	0.008	0.747	-0.000	PreCon Rise	5905634.168	2.112
7	11:33:28	0.000	0.880	-0.000	PreCon Rise	5905634.168	2.112
8	11:33:29	0.016	1.013	-0.000	PreCon Rise	5905634.165	2.112
9	11:33:30	-0.008	1.147	-0.000	PreCon Rise	5905634.182	2.112
10	11:33:31	0.016	1.280	-0.000	PreCon Rise	5905634.172	2.112
11	11:33:32	0.008	1.413	-0.000	PreCon Rise	5905634.168	2.112
12	11:33:33	0.000	1.547	-0.000	PreCon Rise	5905634.179	2.112
13	11:33:34	0.004	1.680	-0.000	PreCon Rise	5905634.175	2.112
14	11:33:35	0.004	1.813	-0.000	PreCon Rise	5905634.186	2.112
15	11:33:36	-0.004	1.947	-0.000	PreCon Rise	5905634.168	2.112
16	11:33:37	0.000	2.080	-0.000	PreCon Rise	5905634.175	2.112
17	11:33:38	0.000	2.213	-0.000	PreCon Rise	5905634.168	2.112
18	11:33:39	-0.008	2.347	-0.000	PreCon Rise	5905634.193	2.112
19	11:33:40	0.004	2.480	-0.000	PreCon Rise	5905634.175	2.112
20	11:33:41	0.000	2.613	-0.000	PreCon Rise	5905634.175	2.112
21	11:33:42	0.000	2.747	-0.000	PreCon Rise	5905634.179	2.112
22	11:33:43	0.000	2.880	-0.000	PreCon Rise	5905634.175	2.112
23	11:33:44	-0.004	3.013	-0.000	PreCon Rise	5905634.168	2.112
24	11:33:45	0.000	3.147	-0.000	PreCon Rise	5905634.172	2.112
25	11:33:46	-0.004	3.280	-0.000	PreCon Rise	5905634.179	2.112
26	11:33:47	-0.008	3.413	-0.000	PreCon Rise	5905634.172	2.112
27	11:33:48	0.012	3.547	-0.000	PreCon Rise	5905634.161	2.112
28	11:33:49	0.016	3.680	-0.000	PreCon Rise	5905634.158	2.112
29	11:33:50	0.004	3.813	-0.000	PreCon Rise	5905634.158	2.112
30	11:33:51	0.004	3.947	-0.000	PreCon Rise	5905634.165	2.112
31	11:33:52	0.008	4.080	-0.000	PreCon Rise	5905634.154	2.112
32	11:33:53	-0.004	4.213	-0.000	PreCon Rise	5905634.161	2.112
33	11:33:54	0.008	4.347	-0.000	PreCon Rise	5905634.154	2.112
34	11:33:55	0.004	4.480	-0.000	PreCon Rise	5905634.154	2.112
35	11:33:56	0.000	4.613	-0.000	PreCon Rise	5905634.158	2.112
36	11:33:57	0.004	4.747	-0.000	PreCon Rise	5905634.151	2.112
37	11:33:58	-0.016	4.880	-0.000	PreCon Rise	5905634.154	2.112
38	11:33:59	0.000	5.013	-0.000	PreCon Rise	5905634.140	2.112
39	11:34:00	0.004	5.147	-0.000	PreCon Rise	5905634.147	2.112
40	11:34:01	0.012	5.280	-0.000	PreCon Rise	5905634.133	2.112
41	11:34:02	-0.008	5.413	-0.000	PreCon Rise	5905634.165	2.112
