	Timestamp	Filtered Rate: C60	Source Power: C60	Thickness: C60	State: C60	Fundamental  Frequency: C60	Current Z-Ratio: C60
0	16:03:40	-0.002	0.000	-0.006	Ready	5895122.511	2.144
1	16:03:41	-0.002	0.064	-0.006	PreCon Rise	5895122.521	2.144
2	16:03:42	-0.003	0.147	-0.006	PreCon Rise	5895122.528	2.144
3	16:03:43	-0.002	0.238	-0.006	PreCon Rise	5895122.542	2.144
4	16:03:44	-0.002	0.330	-0.006	PreCon Rise	5895122.549	2.144
5	16:03:45	-0.002	0.422	-0.006	PreCon Rise	5895122.556	2.144
6	16:03:46	-0.002	0.513	-0.006	PreCon Rise	5895122.556	2.144
7	16:03:47	-0.002	0.605	-0.006	PreCon Rise	5895122.577	2.144
8	16:03:48	-0.002	0.706	-0.006	PreCon Rise	5895122.581	2.144
9	16:03:49	-0.002	0.788	-0.006	PreCon Rise	5895122.595	2.144
10	16:03:50	-0.003	0.880	-0.006	PreCon Rise	5895122.605	2.144
11	16:03:51	-0.002	0.972	-0.006	PreCon Rise	5895122.612	2.144
12	16:03:52	-0.002	1.063	-0.006	PreCon Rise	5895122.619	2.144
13	16:03:53	-0.002	1.155	-0.006	PreCon Rise	5895122.633	2.144
14	16:03:54	-0.002	1.247	-0.006	PreCon Rise	5895122.630	2.144
15	16:03:55	-0.001	1.338	-0.006	PreCon Rise	5895122.633	2.144
16	16:03:56	-0.002	1.430	-0.006	PreCon Rise	5895122.647	2.144
17	16:03:57	-0.002	1.522	-0.006	PreCon Rise	5895122.658	2.144
18	16:03:58	-0.002	1.613	-0.006	PreCon Rise	5895122.661	2.144
19	16:03:59	-0.002	1.705	-0.006	PreCon Rise	5895122.665	2.144
20	16:04:00	-0.001	1.797	-0.006	PreCon Rise	5895122.665	2.144
21	16:04:01	-0.002	1.888	-0.006	PreCon Rise	5895122.682	2.144
22	16:04:02	-0.002	1.980	-0.006	PreCon Rise	5895122.692	2.144
23	16:04:03	-0.002	2.072	-0.006	PreCon Rise	5895122.699	2.144
24	16:04:04	-0.003	2.163	-0.006	PreCon Rise	5895122.710	2.144
25	16:04:05	-0.003	2.255	-0.006	PreCon Rise	5895122.727	2.144
26	16:04:06	-0.002	2.347	-0.006	PreCon Rise	5895122.731	2.144
27	16:04:07	-0.002	2.438	-0.006	PreCon Rise	5895122.738	2.144
28	16:04:08	-0.002	2.530	-0.006	PreCon Rise	5895122.748	2.144
29	16:04:09	-0.002	2.622	-0.006	PreCon Rise	5895122.755	2.144
30	16:04:10	-0.002	2.723	-0.006	PreCon Rise	5895122.766	2.144
31	16:04:11	-0.002	2.805	-0.006	PreCon Rise	5895122.776	2.144
32	16:04:12	-0.003	2.897	-0.006	PreCon Rise	5895122.790	2.144
33	16:04:13	-0.003	2.988	-0.006	PreCon Rise	5895122.797	2.144
34	16:04:14	-0.003	3.080	-0.006	PreCon Rise	5895122.818	2.144
35	16:04:15	-0.003	3.172	-0.006	PreCon Rise	5895122.829	2.144
36	16:04:16	-0.003	3.263	-0.006	PreCon Rise	5895122.843	2.144
37	16:04:17	-0.004	3.355	-0.006	PreCon Rise	5895122.860	2.144
38	16:04:18	-0.003	3.447	-0.006	PreCon Rise	5895122.864	2.144
39	16:04:19	-0.003	3.538	-0.006	PreCon Rise	5895122.878	2.144
40	16:04:20	-0.003	3.630	-0.006	PreCon Rise	5895122.888	2.144
41	16:04:21	-0.002	3.722	-0.006	PreCon Rise	5895122.899	2.144
42	16:04:22	-0.002	3.813	-0.006	PreCon Rise	5895122.902	2.144
43	16:04:23	-0.003	3.905	-0.006	PreCon Rise	5895122.919	2.144
44	16:04:24	-0.002	3.997	-0.006	PreCon Rise	5895122.923	2.144
45	16:04:25	-0.002	4.088	-0.006	PreCon Rise	5895122.933	2.144
46	16:04:26	-0.003	4.189	-0.006	PreCon Rise	5895122.947	2.144
47	16:04:27	-0.002	4.272	-0.006	PreCon Rise	5895122.954	2.144
48	16:04:28	-0.003	4.363	-0.006	PreCon Rise	5895122.965	2.144
49	16:04:29	-0.003	4.464	-0.006	PreCon Rise	5895122.982	2.144
50	16:04:30	-0.003	4.547	-0.006	PreCon Rise	5895122.986	2.144
51	16:04:31	-0.002	4.638	-0.006	PreCon Rise	5895122.989	2.144
52	16:04:32	-0.002	4.730	-0.006	PreCon Rise	5895123.000	2.144
53	16:04:33	-0.002	4.822	-0.006	PreCon Rise	5895123.014	2.144
54	16:04:34	-0.003	4.913	-0.006	PreCon Rise	5895123.028	2.144
55	16:04:35	-0.003	5.005	-0.006	PreCon Rise	5895123.035	2.144
56	16:04:36	-0.002	5.097	-0.006	PreCon Rise	5895123.038	2.144
57	16:04:37	-0.002	5.188	-0.006	PreCon Rise	5895123.049	2.144
58	16:04:38	-0.002	5.280	-0.006	PreCon Rise	5895123.066	2.144
59	16:04:39	-0.003	5.381	-0.006	PreCon Rise	5895123.073	2.144
60	16:04:40	-0.002	5.463	-0.006	PreCon Rise	5895123.077	2.144
61	16:04:41	-0.003	5.555	-0.006	PreCon Rise	5895123.094	2.144
62	16:04:42	-0.002	5.647	-0.006	PreCon Rise	5895123.098	2.144
63	16:04:43	-0.002	5.738	-0.006	PreCon Rise	5895123.108	2.144
64	16:04:44	-0.002	5.830	-0.006	PreCon Rise	5895123.115	2.144
65	16:04:45	-0.002	5.922	-0.006	PreCon Rise	5895123.129	2.144
66	16:04:46	-0.003	6.013	-0.006	PreCon Rise	5895123.143	2.144
67	16:04:47	-0.003	6.105	-0.006	PreCon Rise	5895123.153	2.144
68	16:04:48	-0.003	6.206	-0.006	PreCon Rise	5895123.167	2.144
69	16:04:49	-0.003	6.298	-0.006	PreCon Rise	5895123.178	2.144
70	16:04:50	-0.003	6.380	-0.006	PreCon Rise	5895123.195	2.144
71	16:04:51	-0.003	6.472	-0.006	PreCon Rise	5895123.199	2.144
72	16:04:52	-0.003	6.563	-0.006	PreCon Rise	5895123.213	2.144
73	16:04:53	-0.003	6.655	-0.006	PreCon Rise	5895123.230	2.144
74	16:04:54	-0.003	6.747	-0.006	PreCon Rise	5895123.241	2.144
75	16:04:55	-0.003	6.838	-0.006	PreCon Rise	5895123.248	2.144
76	16:04:56	-0.003	6.930	-0.006	PreCon Rise	5895123.255	2.144
