	Timestamp	Filtered Rate: Cl-BsubPc_BB	Source Power: Cl-BsubPc_BB	Thickness: Cl-BsubPc_BB	State: Cl-BsubPc_BB	Fundamental  Frequency: Cl-BsubPc_BB	Current Z-Ratio: Cl-BsubPc_BB
0	17:48:22	0.000	0.000	0.000	Ready	5888615.877	2.286
1	17:48:23	0.000	0.280	0.000	PreCon Rise	5888615.877	2.286
2	17:48:24	-0.000	0.680	0.000	PreCon Rise	5888615.877	2.286
3	17:48:25	0.000	1.080	0.000	PreCon Rise	5888615.877	2.286
4	17:48:26	0.000	1.480	0.000	PreCon Rise	5888615.877	2.286
5	17:48:27	0.001	1.880	0.000	PreCon Rise	5888615.873	2.286
6	17:48:28	0.000	2.280	0.000	PreCon Rise	5888615.873	2.286
7	17:48:29	0.000	2.680	0.000	PreCon Rise	5888615.873	2.286
8	17:48:30	0.000	3.080	0.000	PreCon Rise	5888615.873	2.286
9	17:48:31	0.000	3.480	0.000	PreCon Rise	5888615.873	2.286
10	17:48:32	0.000	3.880	0.000	PreCon Rise	5888615.873	2.286
11	17:48:33	0.001	4.280	0.000	PreCon Rise	5888615.870	2.286
12	17:48:34	-0.000	4.680	0.000	PreCon Rise	5888615.870	2.286
13	17:48:35	-0.001	5.080	0.000	PreCon Rise	5888615.873	2.286
14	17:48:36	0.001	5.480	0.000	PreCon Rise	5888615.870	2.286
15	17:48:37	0.000	5.880	0.000	PreCon Rise	5888615.870	2.286
16	17:48:38	0.001	6.280	0.000	PreCon Rise	5888615.866	2.286
17	17:48:39	0.000	6.680	0.000	PreCon Rise	5888615.866	2.286
18	17:48:40	0.000	7.080	0.000	PreCon Rise	5888615.866	2.286
19	17:48:41	0.000	7.480	0.000	PreCon Rise	5888615.866	2.286
20	17:48:42	0.000	7.880	0.000	PreCon Rise	5888615.866	2.286
21	17:48:43	0.000	8.280	0.000	PreCon Rise	5888615.866	2.286
22	17:48:44	0.000	8.680	0.000	PreCon Rise	5888615.866	2.286
23	17:48:45	0.000	9.080	0.000	PreCon Rise	5888615.866	2.286
24	17:48:46	0.001	9.480	0.000	PreCon Rise	5888615.863	2.286
25	17:48:47	-0.001	9.880	0.000	PreCon Rise	5888615.866	2.286
26	17:48:48	0.001	10.280	0.000	PreCon Rise	5888615.863	2.286
27	17:48:49	-0.000	10.680	0.000	PreCon Rise	5888615.863	2.286
28	17:48:50	0.000	11.080	0.000	PreCon Rise	5888615.863	2.286
29	17:48:51	0.001	11.480	0.000	PreCon Rise	5888615.859	2.286
30	17:48:52	0.000	11.880	0.000	PreCon Rise	5888615.859	2.286
31	17:48:53	0.000	12.000	0.000	PreCon Soak	5888615.859	2.286
32	17:48:54	-0.000	12.000	0.000	PreCon Soak	5888615.859	2.286
33	17:48:55	0.000	12.000	0.000	PreCon Soak	5888615.859	2.286
34	17:48:56	-0.001	12.000	0.000	PreCon Soak	5888615.863	2.286
35	17:48:57	0.001	12.000	0.000	PreCon Soak	5888615.859	2.286
36	17:48:58	-0.001	12.000	0.000	PreCon Soak	5888615.863	2.286
37	17:48:59	0.001	12.000	0.000	PreCon Soak	5888615.859	2.286
38	17:49:00	0.001	12.000	0.000	Manual	5888615.859	2.286
39	17:49:01	0.000	12.000	0.000	Manual	5888615.859	2.286
40	17:49:02	0.000	12.000	0.000	Manual	5888615.859	2.286
41	17:49:03	0.001	12.000	0.000	Manual	5888615.856	2.286
42	17:49:04	0.000	12.000	0.000	Manual	5888615.856	2.286
43	17:49:05	-0.001	12.000	0.000	Manual	5888615.859	2.286
44	17:49:06	0.001	12.000	0.000	Manual	5888615.856	2.286
45	17:49:07	0.000	12.000	0.000	Manual	5888615.856	2.286
46	17:49:08	-0.000	12.000	0.000	Manual	5888615.856	2.286
47	17:49:09	-0.000	12.000	0.000	Manual	5888615.856	2.286
48	17:49:10	0.000	12.000	0.000	Manual	5888615.856	2.286
49	17:49:11	0.000	12.000	0.000	Manual	5888615.856	2.286
50	17:49:12	0.000	12.000	0.000	Manual	5888615.856	2.286
51	17:49:13	0.000	12.000	0.000	Manual	5888615.856	2.286
52	17:49:14	0.000	12.000	0.000	Manual	5888615.856	2.286
53	17:49:15	0.001	12.000	0.000	Manual	5888615.852	2.286
54	17:49:16	-0.001	12.000	0.000	Manual	5888615.856	2.286
55	17:49:17	0.000	12.000	0.000	Manual	5888615.856	2.286
56	17:49:18	0.001	12.000	0.000	Manual	5888615.852	2.286
57	17:49:19	0.001	12.000	0.000	Manual	5888615.849	2.286
58	17:49:20	0.000	12.000	0.000	Manual	5888615.849	2.286
59	17:49:21	0.001	12.000	0.000	Manual	5888615.845	2.286
60	17:49:22	0.000	12.000	0.000	Manual	5888615.845	2.286
61	17:49:23	0.000	12.000	0.000	Manual	5888615.845	2.286
62	17:49:24	0.000	12.000	0.000	Manual	5888615.845	2.286
63	17:49:25	0.000	12.000	0.000	Manual	5888615.845	2.286
64	17:49:26	0.001	12.000	0.000	Manual	5888615.842	2.286
65	17:49:27	-0.000	12.000	0.000	Manual	5888615.842	2.286
66	17:49:28	0.000	12.000	0.000	Manual	5888615.842	2.286
67	17:49:29	0.001	12.000	0.000	Manual	5888615.838	2.286
68	17:49:30	0.000	12.000	0.000	Manual	5888615.838	2.286
69	17:49:31	0.001	12.000	0.000	Manual	5888615.835	2.286
70	17:49:32	-0.002	12.000	0.000	Manual	5888615.842	2.286
