Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99957E-1	-2.00413E-7	-1.25258E-3	-1.71534E+2	-8.69537E+1	-6.83892E-1
-7.99988E-1	-1.53463E-7	-9.59144E-4	-1.99414E+2	-5.72533E+1	-4.87050E-1
-5.99972E-1	-1.07580E-7	-6.72375E-4	-2.61669E+2	-1.37424E+2	-3.36004E-1
-3.99965E-1	-5.70799E-8	-3.56749E-4	-9.84821E+2	-5.78488E+2	-4.47294E-1
-2.00001E-1	-9.81227E-9	-6.13267E-5	-2.04878E+4	-1.28996E+3	-7.99883E-1
4.88281E-5	1.46285E-8	9.14281E-5	2.60865E+7	-1.35383E+3	3.70695E-1
2.00039E-1	4.15281E-8	2.59551E-4	-1.10934E+3	-7.46455E+2	-1.83338E-1
3.99983E-1	8.29336E-8	5.18335E-4	-1.23059E+2	-5.38976E+1	-8.12113E-2
5.99965E-1	1.10871E-7	6.92944E-4	-3.55654E+2	-2.95771E+2	-4.70654E-1
7.99979E-1	1.84721E-7	1.15451E-3	-4.12973E+1	-1.29932E+2	-1.21408E-1
9.99985E-1	2.63162E-7	1.64476E-3	-5.32088E+1	-8.23521E+1	-2.78567E-1
1.19999E+0	3.47905E-7	2.17441E-3	-4.74108E+1	-8.50459E+1	-3.93773E-1
1.39999E+0	4.55661E-7	2.84788E-3	-6.04871E+1	-2.62670E+1	-7.67644E-1
1.59999E+0	6.05691E-7	3.78557E-3	-1.47212E+1	-4.30308E+1	-2.83819E-1
1.79997E+0	7.67045E-7	4.79403E-3	-1.43677E+1	-1.07817E+1	-3.94641E-1
1.99996E+0	9.57119E-7	5.98199E-3	7.41476E+0	1.22172E+0	2.82367E-1
2.19996E+0	1.25103E-6	7.81894E-3	-4.69761E+0	-1.22554E+1	-2.57211E-1
2.39994E+0	1.82104E-6	1.13815E-2	-7.36477E+0	-1.60472E+1	-6.40338E-1
2.59992E+0	2.73083E-6	1.70677E-2	-2.61153E+0	-4.02161E+0	-3.68876E-1
2.79987E+0	4.41183E-6	2.75739E-2	-1.10628E+0	-7.84066E+0	-2.71865E-1
2.99978E+0	7.48698E-6	4.67936E-2	4.85326E-1	-3.86977E+0	2.16850E-1
3.19977E+0	1.23469E-5	7.71681E-2	9.75277E-3	-2.91069E-1	7.66540E-3
3.39981E+0	1.95881E-5	1.22426E-1	2.91629E-1	-1.07612E+0	3.86374E-1
3.59985E+0	3.16201E-5	1.97626E-1	5.26777E-1	6.10671E-1	1.19290E+0
3.79981E+0	4.72773E-5	2.95483E-1	5.75823E-1	2.10004E-2	2.05795E+0
3.99980E+0	6.57073E-5	4.10671E-1	6.55810E-1	2.12261E-2	3.42894E+0
4.19978E+0	9.00971E-5	5.63107E-1	6.52585E-1	2.43233E-1	4.91252E+0
4.39974E+0	1.21394E-4	7.58713E-1	6.18978E-1	1.52745E-1	6.57702E+0
4.59970E+0	1.55965E-4	9.74781E-1	6.17103E-1	-4.28690E-2	8.80734E+0
4.80004E+0	2.01768E-4	1.26105E+0	5.82893E-1	2.06984E-1	1.12309E+1
5.00002E+0	2.58544E-4	1.61590E+0	5.68374E-1	1.83373E-1	1.46174E+1
5.20004E+0	2.99321E-4	1.87076E+0	6.01946E-1	3.29840E-1	1.86394E+1
5.40001E+0	3.67460E-4	2.29663E+0	5.90477E-1	2.45791E-1	2.33098E+1
5.59999E+0	4.37965E-4	2.73728E+0	6.07192E-1	2.78904E-1	2.96267E+1
5.80004E+0	5.24856E-4	3.28035E+0	6.07299E-1	3.33620E-1	3.67794E+1
5.99998E+0	6.20724E-4	3.87953E+0	6.09871E-1	3.39425E-1	4.51873E+1
6.20002E+0	7.23403E-4	4.52127E+0	6.03636E-1	3.59973E-1	5.38615E+1
6.40001E+0	8.50665E-4	5.31666E+0	6.02161E-1	3.58207E-1	6.52202E+1
6.59996E+0	9.90544E-4	6.19090E+0	5.95975E-1	3.71224E-1	7.75128E+1
6.79991E+0	1.14939E-3	7.18369E+0	5.95528E-1	3.77227E-1	9.25982E+1
6.99991E+0	1.32583E-3	8.28644E+0	5.91355E-1	3.81651E-1	1.09184E+2
7.19989E+0	1.52746E-3	9.54663E+0	5.79981E-1	3.91762E-1	1.26893E+2
7.39989E+0	1.74711E-3	1.09194E+1	5.79298E-1	3.99185E-1	1.48997E+2
7.59988E+0	1.99152E-3	1.24470E+1	5.69613E-1	4.14458E-1	1.71515E+2
7.79990E+0	2.26255E-3	1.41409E+1	5.66382E-1	4.13689E-1	1.98851E+2
7.99990E+0	2.55636E-3	1.59773E+1	5.56587E-1	4.30185E-1	2.26449E+2
8.19983E+0	2.87967E-3	1.79979E+1	5.52867E-1	4.39921E-1	2.59716E+2
8.39989E+0	3.22697E-3	2.01686E+1	5.43424E-1	4.43162E-1	2.93047E+2
8.59983E+0	3.61141E-3	2.25713E+1	5.40703E-1	4.51438E-1	3.34084E+2
8.79987E+0	4.02645E-3	2.51653E+1	5.31292E-1	4.55050E-1	3.74508E+2
8.99985E+0	4.47512E-3	2.79695E+1	5.26855E-1	4.61147E-1	4.22145E+2
9.19980E+0	4.96207E-3	3.10129E+1	5.16103E-1	4.64657E-1	4.68714E+2
9.39982E+0	5.48863E-3	3.43039E+1	5.12328E-1	4.65445E-1	5.25850E+2
9.60010E+0	6.05119E-3	3.78199E+1	5.02648E-1	4.68770E-1	5.80912E+2
9.80003E+0	6.65996E-3	4.16248E+1	4.98434E-1	4.73514E-1	6.47197E+2
1.00001E+1	7.32375E-3	4.57734E+1	4.92072E-1	4.79442E-1	7.16962E+2
1.02001E+1	8.03019E-3	5.01887E+1	4.81607E-1	4.79628E-1	7.84789E+2
1.04001E+1	8.77993E-3	5.48746E+1	4.77452E-1	4.85124E-1	8.67339E+2
1.06000E+1	9.58995E-3	5.99372E+1	4.67944E-1	4.86748E-1	9.46338E+2
1.08000E+1	1.04718E-2	6.54488E+1	4.62734E-1	4.91573E-1	1.04113E+3
1.10000E+1	1.13948E-2	7.12175E+1	4.57172E-1	4.93215E-1	1.14001E+3
1.12000E+1	1.23880E-2	7.74250E+1	4.47243E-1	4.90199E-1	1.23451E+3
1.14001E+1	1.34460E-2	8.40375E+1	4.43050E-1	4.95338E-1	1.35109E+3
1.16000E+1	1.45799E-2	9.11244E+1	4.34209E-1	4.94767E-1	1.46097E+3
1.18000E+1	1.57745E-2	9.85906E+1	4.30081E-1	5.00085E-1	1.59264E+3
1.20000E+1	1.70705E-2	1.06691E+2	4.20881E-1	4.97723E-1	1.71521E+3
