Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99974E-1	-1.05289E-3	-6.58056E+0	9.59764E-3	1.98476E-2	2.01032E-1
-7.99992E-1	-8.37279E-4	-5.23299E+0	7.74675E-3	1.19155E-2	1.03230E-1
-5.99968E-1	-5.40945E-4	-3.38091E+0	6.41654E-2	3.11643E-2	4.14297E-1
-3.99956E-1	-3.46040E-4	-2.16275E+0	-8.22173E-3	5.62966E-2	-2.26377E-2
-1.99981E-1	-5.16750E-4	-3.22969E+0	1.25443E-1	1.80338E-2	2.57896E-1
8.09431E-5	1.83710E-7	1.14819E-3	4.83625E+5	-6.45032E+0	1.43071E-1
2.00062E-1	9.69549E-4	6.05968E+0	1.06298E-1	-1.62341E-3	4.10193E-1
4.00017E-1	1.46344E-3	9.14650E+0	4.62278E-2	-2.50609E-3	5.38377E-1
6.00013E-1	1.38600E-3	8.66250E+0	1.75363E-2	-2.50484E-3	2.90130E-1
8.00030E-1	1.27975E-3	7.99844E+0	2.68683E-2	1.02385E-2	5.47270E-1
1.00003E+0	1.28331E-3	8.02069E+0	-2.97844E-3	9.92940E-3	-7.60437E-2
1.20004E+0	1.48341E-3	9.27131E+0	-6.92147E-3	-1.49467E-3	-2.45124E-1
1.40003E+0	1.70414E-3	1.06509E+1	4.18912E-3	6.83259E-3	1.98836E-1
1.60004E+0	1.92573E-3	1.20358E+1	6.96104E-3	1.15966E-2	4.26708E-1
1.80002E+0	2.16171E-3	1.35107E+1	-3.81918E-4	9.24123E-3	-2.95648E-2
2.00002E+0	2.35230E-3	1.47019E+1	-1.93916E-3	1.17410E-2	-1.81498E-1
2.20039E+0	2.51444E-3	1.57152E+1	1.24151E-3	3.40286E-3	1.36654E-1
2.40034E+0	2.70743E-3	1.69214E+1	-1.36399E-3	9.27467E-3	-1.76348E-1
2.60031E+0	3.30242E-3	2.06401E+1	1.83276E-3	4.68776E-3	3.13107E-1
2.80026E+0	4.03392E-3	2.52120E+1	-1.09968E-4	3.91681E-3	-2.47128E-2
3.00021E+0	5.01836E-3	3.13648E+1	1.38908E-3	-2.69870E-3	4.16073E-1
3.20027E+0	5.53061E-3	3.45663E+1	5.78878E-3	4.63614E-5	2.03834E+0
3.40025E+0	4.07401E-3	2.54626E+1	6.75507E-2	3.31066E-2	1.86163E+1
3.60029E+0	2.06699E-3	1.29187E+1	2.95615E-1	1.30757E-1	4.37655E+1
3.80024E+0	1.75648E-3	1.09780E+1	5.31677E-1	2.38107E-1	7.06044E+1
4.00016E+0	1.67911E-3	1.04944E+1	7.44119E-1	3.62447E-1	9.94327E+1
4.20015E+0	2.02108E-3	1.26318E+1	7.69879E-1	4.03240E-1	1.30017E+2
4.40006E+0	2.33855E-3	1.46159E+1	7.92015E-1	4.35064E-1	1.62132E+2
4.60009E+0	2.71311E-3	1.69569E+1	7.95039E-1	4.44506E-1	1.97402E+2
4.80047E+0	3.15753E-3	1.97346E+1	7.80153E-1	4.53229E-1	2.35256E+2
5.00043E+0	3.67530E-3	2.29706E+1	7.48129E-1	4.49598E-1	2.73531E+2
5.20041E+0	4.23944E-3	2.64965E+1	7.22491E-1	4.60031E-1	3.16890E+2
5.40037E+0	4.88069E-3	3.05043E+1	6.90784E-1	4.54437E-1	3.62224E+2
5.60030E+0	5.60571E-3	3.50357E+1	6.61090E-1	4.48504E-1	4.12888E+2
5.80031E+0	6.38794E-3	3.99246E+1	6.29869E-1	4.40687E-1	4.64293E+2
6.00032E+0	7.25263E-3	4.53289E+1	6.00025E-1	4.35850E-1	5.19481E+2
6.20033E+0	8.20403E-3	5.12752E+1	5.69686E-1	4.22448E-1	5.76511E+2
6.40033E+0	9.23149E-3	5.76968E+1	5.43260E-1	4.18190E-1	6.38576E+2
6.60031E+0	1.03576E-2	6.47350E+1	5.18583E-1	4.10674E-1	7.05297E+2
6.80034E+0	1.15680E-2	7.23000E+1	4.90048E-1	4.03165E-1	7.66933E+2
7.00031E+0	1.28589E-2	8.03681E+1	4.67029E-1	3.92958E-1	8.36364E+2
7.20029E+0	1.42362E-2	8.89762E+1	4.46229E-1	3.86702E-1	9.09981E+2
7.40031E+0	1.57170E-2	9.82312E+1	4.24850E-1	3.77401E-1	9.83072E+2
7.60024E+0	1.72913E-2	1.08071E+2	4.05426E-1	3.71205E-1	1.05998E+3
7.80027E+0	1.89685E-2	1.18553E+2	3.86827E-1	3.63304E-1	1.13865E+3
7.90067E+0	2.00010E-2	1.25006E+2	3.74553E-1	3.56040E-1	1.17750E+3
