Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99972E-1	-1.37244E-6	-8.57775E-3	-2.71389E+1	-9.90314E+0	-7.40975E-1
-7.99986E-1	-7.69480E-7	-4.80925E-3	-1.75360E+1	-5.32889E-1	-2.14753E-1
-5.99971E-1	-3.73551E-7	-2.33469E-3	-8.00038E+0	1.11188E+1	-3.56715E-2
-3.99952E-1	-1.58559E-7	-9.90994E-4	5.68967E+1	-6.11781E+1	7.17821E-2
-2.00009E-1	-4.85509E-8	-3.03443E-4	1.63701E+1	-5.11110E+2	3.16249E-3
5.87225E-5	3.06244E-8	1.91402E-4	-6.98002E+5	-8.92304E+2	-2.49723E-2
2.00044E-1	6.79749E-8	4.24843E-4	1.15508E+3	-3.19066E+2	3.12475E-1
3.99968E-1	1.15969E-7	7.24806E-4	1.59412E+2	-1.30952E+2	1.47102E-1
5.99957E-1	2.56379E-7	1.60237E-3	9.70198E+1	-1.05266E+1	2.96888E-1
7.99973E-1	4.73069E-7	2.95668E-3	4.07400E+1	-2.05759E+1	3.06726E-1
9.99976E-1	8.17469E-7	5.10918E-3	-1.46684E+1	-2.85536E+1	-2.38547E-1
1.19999E+0	1.28287E-6	8.01794E-3	-5.72462E+0	-1.39064E+1	-1.75322E-1
1.39998E+0	1.97795E-6	1.23622E-2	-7.15589E+0	-1.65729E+1	-3.94213E-1
1.59998E+0	2.93554E-6	1.83471E-2	-1.35006E+0	-6.62741E+0	-1.26150E-1
1.79996E+0	4.21770E-6	2.63606E-2	-1.82906E+0	-3.42092E+0	-2.76247E-1
1.99995E+0	5.97740E-6	3.73587E-2	-6.58640E-1	-2.33638E+0	-1.56643E-1
2.19982E+0	8.35215E-6	5.22009E-2	7.56510E-1	1.41299E+0	2.76522E-1
2.39980E+0	1.15504E-5	7.21900E-2	-1.42349E-1	-1.28733E-1	-7.84978E-2
2.59984E+0	1.61366E-5	1.00854E-1	-5.18597E-1	-1.93494E+0	-4.32832E-1
2.79976E+0	2.34759E-5	1.46724E-1	2.91984E-1	-1.19832E+0	3.81796E-1
2.99973E+0	3.66012E-5	2.28758E-1	1.52688E-1	-9.38768E-1	3.33514E-1
3.19976E+0	6.05806E-5	3.78629E-1	4.50807E-1	-1.79552E-1	1.73849E+0
3.39969E+0	1.01795E-4	6.36219E-1	5.58053E-1	-3.63175E-3	3.84213E+0
3.59974E+0	1.68466E-4	1.05291E+0	6.44332E-1	2.08069E-1	7.77362E+0
3.79972E+0	2.70191E-4	1.68869E+0	6.12893E-1	2.07671E-1	1.25181E+1
3.99965E+0	4.16219E-4	2.60137E+0	5.75769E-1	2.24065E-1	1.90688E+1
4.19965E+0	6.20462E-4	3.87789E+0	5.37232E-1	2.76762E-1	2.78497E+1
4.39960E+0	8.69848E-4	5.43655E+0	5.13776E-1	2.84557E-1	3.91165E+1
4.59958E+0	1.18058E-3	7.37863E+0	4.90812E-1	2.76143E-1	5.30223E+1
4.79997E+0	1.54630E-3	9.66437E+0	4.57784E-1	3.02690E-1	6.75964E+1
4.99996E+0	1.96455E-3	1.22784E+1	4.37966E-1	3.03889E-1	8.55855E+1
5.19998E+0	2.42803E-3	1.51752E+1	4.11987E-1	3.01999E-1	1.03483E+2
5.39998E+0	2.94128E-3	1.83830E+1	3.94449E-1	3.11893E-1	1.24638E+2
5.59995E+0	3.50815E-3	2.19259E+1	3.72947E-1	3.09649E-1	1.45760E+2
5.79999E+0	4.12357E-3	2.57723E+1	3.57501E-1	3.12690E-1	1.70101E+2
5.99998E+0	4.79946E-3	2.99966E+1	3.40184E-1	3.17362E-1	1.94889E+2
6.19993E+0	5.53050E-3	3.45656E+1	3.27400E-1	3.22136E-1	2.23337E+2
6.39992E+0	6.33397E-3	3.95873E+1	3.11142E-1	3.19105E-1	2.50922E+2
6.59992E+0	7.18911E-3	4.49319E+1	3.00528E-1	3.22340E-1	2.83680E+2
6.79989E+0	8.12218E-3	5.07636E+1	2.85308E-1	3.21532E-1	3.13487E+2
6.99986E+0	9.11495E-3	5.69684E+1	2.76171E-1	3.23472E-1	3.50552E+2
7.19986E+0	1.01820E-2	6.36375E+1	2.65479E-1	3.23384E-1	3.87184E+2
7.39988E+0	1.13025E-2	7.06406E+1	2.53914E-1	3.22182E-1	4.22490E+2
7.59984E+0	1.24832E-2	7.80200E+1	2.46017E-1	3.23971E-1	4.64328E+2
7.79986E+0	1.37490E-2	8.59313E+1	2.35798E-1	3.21659E-1	5.03070E+2
7.99986E+0	1.50771E-2	9.42319E+1	2.28442E-1	3.22310E-1	5.48160E+2
8.19978E+0	1.64770E-2	1.02981E+2	2.19385E-1	3.20939E-1	5.89680E+2
8.39982E+0	1.79489E-2	1.12181E+2	2.12268E-1	3.21220E-1	6.36682E+2
8.59980E+0	1.94853E-2	1.21783E+2	2.04179E-1	3.16598E-1	6.80670E+2
8.64077E+0	2.00006E-2	1.25004E+2	2.02140E-1	3.14788E-1	6.94988E+2
