Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-1.00001E+0	-1.05345E-6	-6.58406E-3	0.00000E+0	0.00000E+0	0.00000E+0
-8.00034E-1	-7.04258E-7	-4.40161E-3	0.00000E+0	0.00000E+0	0.00000E+0
-6.00008E-1	-4.06073E-7	-2.53796E-3	0.00000E+0	0.00000E+0	0.00000E+0
-3.99997E-1	-1.07733E-7	-6.73331E-4	0.00000E+0	0.00000E+0	0.00000E+0
-2.00052E-1	-3.00828E-8	-1.88018E-4	0.00000E+0	0.00000E+0	0.00000E+0
-5.41925E-5	9.43687E-9	5.89804E-5	0.00000E+0	0.00000E+0	0.00000E+0
1.99939E-1	3.98586E-8	2.49116E-4	0.00000E+0	0.00000E+0	0.00000E+0
3.99865E-1	9.42896E-8	5.89310E-4	0.00000E+0	0.00000E+0	0.00000E+0
5.99855E-1	3.57373E-7	2.23358E-3	0.00000E+0	0.00000E+0	0.00000E+0
7.99868E-1	6.17233E-7	3.85771E-3	0.00000E+0	0.00000E+0	0.00000E+0
9.99878E-1	1.00033E-6	6.25206E-3	0.00000E+0	0.00000E+0	0.00000E+0
1.19988E+0	1.44587E-6	9.03669E-3	0.00000E+0	0.00000E+0	0.00000E+0
1.39989E+0	2.74374E-6	1.71484E-2	0.00000E+0	0.00000E+0	0.00000E+0
1.59990E+0	3.06493E-6	1.91558E-2	0.00000E+0	0.00000E+0	0.00000E+0
1.79987E+0	3.00846E-4	1.88029E+0	0.00000E+0	0.00000E+0	0.00000E+0
1.99986E+0	4.15038E-4	2.59399E+0	0.00000E+0	0.00000E+0	0.00000E+0
2.19871E+0	8.98193E-4	5.61371E+0	0.00000E+0	0.00000E+0	0.00000E+0
2.39885E+0	1.25545E-3	7.84656E+0	0.00000E+0	0.00000E+0	0.00000E+0
2.59890E+0	7.07304E-4	4.42065E+0	0.00000E+0	0.00000E+0	0.00000E+0
2.79886E+0	9.69233E-4	6.05771E+0	0.00000E+0	0.00000E+0	0.00000E+0
2.99878E+0	1.22687E-3	7.66794E+0	0.00000E+0	0.00000E+0	0.00000E+0
3.19884E+0	1.50761E-3	9.42256E+0	0.00000E+0	0.00000E+0	0.00000E+0
3.39878E+0	1.54894E-3	9.68088E+0	0.00000E+0	0.00000E+0	0.00000E+0
3.59883E+0	1.53409E-3	9.58806E+0	0.00000E+0	0.00000E+0	0.00000E+0
3.79874E+0	1.36937E-5	8.55856E-2	0.00000E+0	0.00000E+0	0.00000E+0
3.99881E+0	1.51513E-5	9.46956E-2	0.00000E+0	0.00000E+0	0.00000E+0
4.19874E+0	2.02549E-5	1.26593E-1	0.00000E+0	0.00000E+0	0.00000E+0
4.39872E+0	2.60818E-5	1.63011E-1	0.00000E+0	0.00000E+0	0.00000E+0
4.59871E+0	3.04694E-5	1.90434E-1	0.00000E+0	0.00000E+0	0.00000E+0
4.79902E+0	3.88855E-5	2.43034E-1	0.00000E+0	0.00000E+0	0.00000E+0
4.99905E+0	3.66948E-5	2.29343E-1	0.00000E+0	0.00000E+0	0.00000E+0
5.19904E+0	3.98009E-5	2.48756E-1	0.00000E+0	0.00000E+0	0.00000E+0
5.39906E+0	5.16715E-5	3.22947E-1	0.00000E+0	0.00000E+0	0.00000E+0
5.59905E+0	6.29875E-5	3.93672E-1	0.00000E+0	0.00000E+0	0.00000E+0
5.79907E+0	6.61478E-5	4.13424E-1	0.00000E+0	0.00000E+0	0.00000E+0
5.99900E+0	8.56976E-5	5.35610E-1	0.00000E+0	0.00000E+0	0.00000E+0
6.19907E+0	1.13596E-4	7.09975E-1	0.00000E+0	0.00000E+0	0.00000E+0
6.39911E+0	1.11301E-4	6.95631E-1	0.00000E+0	0.00000E+0	0.00000E+0
6.59905E+0	1.15882E-4	7.24263E-1	0.00000E+0	0.00000E+0	0.00000E+0
6.79906E+0	1.26480E-4	7.90500E-1	0.00000E+0	0.00000E+0	0.00000E+0
6.99902E+0	1.22114E-4	7.63212E-1	0.00000E+0	0.00000E+0	0.00000E+0
7.19902E+0	1.14137E-4	7.13356E-1	0.00000E+0	0.00000E+0	0.00000E+0
7.39903E+0	1.24051E-4	7.75319E-1	0.00000E+0	0.00000E+0	0.00000E+0
7.59904E+0	1.24166E-4	7.76037E-1	0.00000E+0	0.00000E+0	0.00000E+0
7.79904E+0	1.25094E-4	7.81837E-1	0.00000E+0	0.00000E+0	0.00000E+0
7.99902E+0	1.28089E-4	8.00556E-1	0.00000E+0	0.00000E+0	0.00000E+0
8.19894E+0	1.29354E-4	8.08462E-1	0.00000E+0	0.00000E+0	0.00000E+0
8.39906E+0	1.35628E-4	8.47675E-1	0.00000E+0	0.00000E+0	0.00000E+0
8.59901E+0	1.31001E-4	8.18756E-1	0.00000E+0	0.00000E+0	0.00000E+0
8.79902E+0	1.20420E-4	7.52625E-1	0.00000E+0	0.00000E+0	0.00000E+0
8.99905E+0	1.27317E-4	7.95731E-1	0.00000E+0	0.00000E+0	0.00000E+0
9.19901E+0	1.06339E-4	6.64619E-1	0.00000E+0	0.00000E+0	0.00000E+0
9.39906E+0	1.04021E-4	6.50131E-1	0.00000E+0	0.00000E+0	0.00000E+0
9.59936E+0	1.07358E-4	6.70987E-1	0.00000E+0	0.00000E+0	0.00000E+0
9.79932E+0	9.57340E-5	5.98337E-1	0.00000E+0	0.00000E+0	0.00000E+0
9.99936E+0	1.01021E-4	6.31381E-1	0.00000E+0	0.00000E+0	0.00000E+0
1.01993E+1	1.05063E-4	6.56644E-1	0.00000E+0	0.00000E+0	0.00000E+0
1.03993E+1	1.01974E-4	6.37338E-1	0.00000E+0	0.00000E+0	0.00000E+0
1.05993E+1	1.05622E-4	6.60137E-1	0.00000E+0	0.00000E+0	0.00000E+0
1.07993E+1	1.12596E-4	7.03725E-1	0.00000E+0	0.00000E+0	0.00000E+0
1.09992E+1	1.19250E-4	7.45312E-1	0.00000E+0	0.00000E+0	0.00000E+0
1.11992E+1	1.31661E-4	8.22881E-1	0.00000E+0	0.00000E+0	0.00000E+0
1.13992E+1	1.19687E-4	7.48044E-1	0.00000E+0	0.00000E+0	0.00000E+0
1.15992E+1	1.25875E-4	7.86719E-1	0.00000E+0	0.00000E+0	0.00000E+0
1.17991E+1	1.25803E-4	7.86269E-1	0.00000E+0	0.00000E+0	0.00000E+0
1.19992E+1	1.34225E-4	8.38906E-1	0.00000E+0	0.00000E+0	0.00000E+0
