Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99969E-1	-3.70245E-6	-2.31403E-2	-1.24524E+0	-3.78015E+0	-9.17190E-2
-7.99987E-1	-2.32323E-6	-1.45202E-2	1.32971E+1	-5.99254E+0	4.91655E-1
-5.99965E-1	-1.06610E-6	-6.66312E-3	2.09887E+1	5.95867E+0	2.67078E-1
-3.99951E-1	-4.89267E-7	-3.05792E-3	7.03114E+1	3.85969E+1	2.73721E-1
-2.00004E-1	-1.64572E-7	-1.02858E-3	5.99794E+2	-1.79778E+1	3.92760E-1
3.86000E-5	9.42957E-10	5.89348E-6	-3.06806E+8	-1.10067E+4	-2.22164E-1
2.00032E-1	1.95800E-7	1.22375E-3	4.14071E+2	1.83733E+1	3.22639E-1
3.99967E-1	6.17280E-7	3.85800E-3	4.53141E+1	-8.02721E+0	2.22572E-1
5.99962E-1	1.42974E-6	8.93588E-3	8.87906E+0	-3.47314E+0	1.51523E-1
7.99979E-1	2.68840E-6	1.68025E-2	8.38951E-1	-2.04923E+0	3.58954E-2
9.99977E-1	4.55373E-6	2.84608E-2	4.59201E+0	-3.19234E+0	4.15997E-1
1.19997E+0	7.19142E-6	4.49464E-2	-1.47378E-1	5.98379E-1	-2.53016E-2
1.39999E+0	1.08114E-5	6.75712E-2	4.38480E-1	-2.17191E+0	1.32034E-1
1.59999E+0	1.57554E-5	9.84713E-2	-1.73954E-1	-1.62089E+0	-8.72392E-2
1.79997E+0	2.22829E-5	1.39268E-1	-2.94617E-1	-6.40781E-1	-2.35085E-1
1.99996E+0	3.06282E-5	1.91426E-1	2.28003E-1	-7.53039E-1	2.77852E-1
2.19993E+0	4.16286E-5	2.60179E-1	9.98967E-2	1.33640E-1	1.82004E-1
2.39988E+0	5.60921E-5	3.50576E-1	1.15149E-1	4.52624E-2	3.08378E-1
2.59985E+0	7.57580E-5	4.73488E-1	9.62807E-2	-1.21457E-1	3.77265E-1
2.79984E+0	1.02190E-4	6.38687E-1	1.92060E-1	1.42368E-1	1.09322E+0
2.99978E+0	1.40866E-4	8.80412E-1	4.18974E-1	6.53296E-2	3.52219E+0
3.19985E+0	1.99749E-4	1.24843E+0	4.18944E-1	2.06428E-2	5.32722E+0
3.39978E+0	3.07625E-4	1.92266E+0	5.01412E-1	1.84555E-1	1.04327E+1
3.59977E+0	4.53039E-4	2.83149E+0	5.18586E-1	1.84473E-1	1.68252E+1
3.79977E+0	5.85636E-4	3.66022E+0	5.70896E-1	2.34212E-1	2.52739E+1
3.99969E+0	7.81933E-4	4.88708E+0	6.11547E-1	2.89602E-1	3.80501E+1
4.19963E+0	9.99013E-4	6.24383E+0	6.40316E-1	2.95503E-1	5.34450E+1
4.39968E+0	1.33182E-3	8.32387E+0	6.27807E-1	2.99560E-1	7.31851E+1
4.59967E+0	1.67900E-3	1.04937E+1	6.20888E-1	3.17336E-1	9.53939E+1
4.79998E+0	2.09242E-3	1.30776E+1	5.98918E-1	3.13033E-1	1.19670E+2
5.00003E+0	2.55544E-3	1.59715E+1	5.81103E-1	3.10829E-1	1.47714E+2
5.19999E+0	3.06670E-3	1.91669E+1	5.59287E-1	3.16517E-1	1.77435E+2
5.39996E+0	3.66091E-3	2.28807E+1	5.28537E-1	3.08534E-1	2.07867E+2
5.59995E+0	4.34853E-3	2.71783E+1	4.90899E-1	2.99224E-1	2.37820E+2
5.80000E+0	5.20070E-3	3.25044E+1	4.42559E-1	2.80905E-1	2.65577E+2
5.99997E+0	6.31906E-3	3.94941E+1	1.83907E-1	1.19623E-1	1.38717E+2
5.79006E+0	2.00008E-2	1.25005E+2	1.32851E-2	7.83851E-3	3.06073E+1
