Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99970E-1	-6.19359E-8	-3.87099E-4	-4.43253E+2	-7.57774E+1	-5.46149E-1
-7.99964E-1	-3.46949E-9	-2.16843E-5	-9.13188E+3	4.95597E+3	-5.04227E-1
-5.99942E-1	8.88655E-9	5.55409E-5	-1.18890E+3	2.79604E+3	-1.26100E-1
-3.99921E-1	2.72385E-8	1.70241E-4	-6.53662E+2	-1.42317E+2	-1.41658E-1
-1.99979E-1	3.34763E-8	2.09227E-4	-2.91296E+3	7.71619E+2	-3.87959E-1
6.85453E-5	3.46837E-8	2.16773E-4	-4.90597E+6	8.17993E+2	-2.32037E-1
2.00066E-1	4.05822E-8	2.53639E-4	-1.26062E+3	3.56737E+2	-2.03621E-1
4.00011E-1	4.38051E-8	2.73782E-4	-5.10608E+2	2.67154E+2	-1.77998E-1
6.00008E-1	4.88092E-8	3.05058E-4	4.80853E+2	2.54318E+2	2.80157E-1
8.00017E-1	6.14639E-8	3.84149E-4	5.97826E+2	9.32572E+2	5.84823E-1
1.00002E+0	8.24159E-8	5.15099E-4	-2.19074E+1	4.12625E+2	-3.59203E-2
1.20000E+0	8.02650E-8	5.01656E-4	7.00347E+1	4.61337E+2	1.34199E-1
1.40001E+0	1.19429E-7	7.46431E-4	-2.93477E+1	1.75638E+2	-9.76214E-2
1.60001E+0	1.79601E-7	1.12251E-3	-2.19337E+1	2.04519E+2	-1.25393E-1
1.79998E+0	2.47189E-7	1.54493E-3	-4.12449E+1	5.85478E+1	-3.65088E-1
1.99998E+0	3.27080E-7	2.04425E-3	-2.36272E+0	-2.22809E+1	-3.07484E-2
2.20005E+0	4.44136E-7	2.77585E-3	-3.02015E+1	2.61199E+1	-5.87094E-1
2.40002E+0	6.29581E-7	3.93488E-3	5.37249E+0	2.47951E+1	1.61500E-1
2.60000E+0	1.04081E-6	6.50506E-3	-2.11875E+0	1.41838E+1	-1.14066E-1
2.79989E+0	2.26732E-6	1.41708E-2	-1.73770E+0	8.57646E+0	-2.19462E-1
2.99984E+0	5.54292E-6	3.46433E-2	-1.80101E+0	9.24550E-1	-5.95776E-1
3.19987E+0	1.23114E-5	7.69462E-2	5.29518E-1	4.56490E+0	4.15002E-1
3.39985E+0	2.43921E-5	1.52451E-1	2.51135E-1	1.08811E+0	4.14330E-1
3.59982E+0	4.38961E-5	2.74351E-1	2.61541E-1	3.48615E-1	8.22198E-1
3.79982E+0	7.31792E-5	4.57370E-1	4.86647E-1	4.54699E-1	2.69212E+0
3.99981E+0	1.15589E-4	7.22431E-1	3.23666E-1	3.30709E-1	2.97703E+0
4.19982E+0	1.74717E-4	1.09198E+0	3.40631E-1	3.66256E-1	4.97256E+0
4.39977E+0	2.50856E-4	1.56785E+0	2.93287E-1	1.64316E-1	6.43988E+0
4.59968E+0	3.51340E-4	2.19588E+0	2.81363E-1	2.22715E-1	9.04592E+0
4.80001E+0	4.78918E-4	2.99324E+0	2.70514E-1	1.87988E-1	1.23715E+1
5.00000E+0	6.31339E-4	3.94587E+0	2.38043E-1	1.83515E-1	1.49492E+1
5.20003E+0	8.07932E-4	5.04957E+0	2.24637E-1	1.62271E-1	1.87756E+1
