Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99954E-1	-1.60178E-7	-1.00111E-3	-1.50511E+2	1.03302E+2	-4.79602E-1
-7.99984E-1	-8.52404E-8	-5.32752E-4	-3.10756E+2	1.86542E+2	-4.21576E-1
-5.99935E-1	-7.65028E-9	-4.78143E-5	5.32270E+3	9.21988E+2	4.86009E-1
-3.99926E-1	2.12052E-8	1.32533E-4	-1.41571E+2	-4.00701E+2	-2.38850E-2
-1.99975E-1	3.04359E-8	1.90224E-4	1.50674E+2	5.27465E+2	1.82444E-2
7.67708E-5	3.82715E-8	2.39197E-4	-5.17867E+6	3.95694E+1	-3.02705E-1
2.00071E-1	4.89211E-8	3.05757E-4	7.90829E+2	1.56176E+2	1.53990E-1
4.00008E-1	5.75506E-8	3.59691E-4	-4.60198E+2	2.02893E+1	-2.10763E-1
5.99990E-1	7.42959E-8	4.64349E-4	4.15899E+2	1.61379E+2	3.68830E-1
7.99978E-1	8.53897E-8	5.33686E-4	-1.16629E+1	-3.42766E+0	-1.58497E-2
9.99984E-1	1.50080E-7	9.38000E-4	4.04056E+0	2.08685E+1	1.20639E-2
1.19999E+0	2.43279E-7	1.52049E-3	1.56262E+1	3.95467E+1	9.07543E-2
1.39999E+0	3.71983E-7	2.32489E-3	-7.78120E+0	-1.53002E+1	-8.06167E-2
1.59999E+0	5.33427E-7	3.33392E-3	-1.33402E+1	1.04979E+1	-2.26508E-1
1.79998E+0	7.35316E-7	4.59573E-3	-3.44711E+0	2.07556E+1	-9.07668E-2
1.99997E+0	1.02609E-6	6.41306E-3	8.53259E-2	1.04420E+1	3.48353E-3
2.20002E+0	1.56565E-6	9.78531E-3	-6.85501E+0	6.31919E+0	-4.69742E-1
2.39995E+0	2.03619E-6	1.27262E-2	-5.73076E+0	6.25963E+0	-5.57138E-1
2.59997E+0	3.26628E-6	2.04142E-2	-3.67717E+0	3.78225E+0	-6.21248E-1
2.79995E+0	5.96528E-6	3.72830E-2	-6.73319E-1	-4.22045E-1	-2.23734E-1
2.99984E+0	1.17323E-5	7.33269E-2	-5.61601E-1	-4.23119E-1	-3.93223E-1
3.19998E+0	2.37110E-5	1.48194E-1	4.58520E-3	7.40454E-1	6.92127E-3
3.39985E+0	4.53588E-5	2.83492E-1	-8.25425E-2	4.13992E-2	-2.53238E-1
3.59982E+0	8.24518E-5	5.15324E-1	-9.86027E-2	-9.07667E-2	-5.82237E-1
3.79977E+0	1.45628E-4	9.10175E-1	-3.89073E-3	7.43499E-2	-4.28315E-2
3.99976E+0	2.32518E-4	1.45324E+0	-8.26388E-3	2.56636E-2	-1.52899E-1
4.19974E+0	3.59602E-4	2.24751E+0	-1.72056E-2	-2.63783E-4	-5.16947E-1
2.38419E-5	-4.19370E-9	-2.62106E-5	-2.48095E+8	4.01102E+3	-4.93500E-1
3.09944E-5	-2.09095E-9	-1.30684E-5	-5.63029E+8	1.48340E+3	-7.25918E-1
2.62260E-5	-1.53220E-9	-9.57625E-6	-9.32547E+6	-7.06457E+2	-7.45501E-3
5.72205E-5	-1.26464E-9	-7.90400E-6	5.77347E+8	-1.42820E+3	8.31162E-1
0.00000E+0	0.00000E+0	0.00000E+0	NaN	NaN	2.02270E-1
