Voltage(V)	Current(A)	J(mA/cm2)	PE(lm/W)	EQE(%)	L(cd/m2)
-9.99966E-1	-4.15784E-6	-2.59865E-2	1.60194E+0	4.50798E+0	1.32504E-1
-7.99983E-1	-2.84777E-6	-1.77986E-2	-9.80766E+0	1.39208E+1	-4.44510E-1
-5.99962E-1	-1.90087E-6	-1.18804E-2	-6.39614E+0	1.70168E+1	-1.45119E-1
-3.99946E-1	-8.79191E-7	-5.49494E-3	-7.94940E+1	3.06475E+1	-5.56095E-1
-2.00006E-1	-2.41878E-7	-1.51174E-3	-4.01671E+2	9.74759E+1	-3.86581E-1
3.75748E-5	1.99902E-10	1.24939E-6	-6.45176E+8	8.78683E+4	-9.64100E-2
2.00034E-1	1.96077E-7	1.22548E-3	-8.64047E+2	-3.65472E+1	-6.74214E-1
3.99975E-1	4.90991E-7	3.06869E-3	-3.45765E+2	-6.19767E+0	-1.35088E+0
5.99971E-1	9.12097E-7	5.70061E-3	-8.64003E+1	1.81342E+1	-9.40625E-1
7.99984E-1	1.48735E-6	9.29594E-3	-4.75244E+1	2.27968E+0	-1.12497E+0
9.99988E-1	2.25303E-6	1.40814E-2	-1.34190E+1	8.76394E+0	-6.01466E-1
1.20000E+0	3.18771E-6	1.99232E-2	-5.38943E+0	7.20111E+0	-4.10141E-1
1.40000E+0	4.39461E-6	2.74663E-2	-6.45538E+0	1.44274E+0	-7.90133E-1
1.60000E+0	5.92843E-6	3.70527E-2	-8.36323E+0	6.55167E-1	-1.57821E+0
1.79998E+0	7.95082E-6	4.96926E-2	-1.89158E+0	1.60255E+0	-5.38561E-1
1.99999E+0	1.04686E-5	6.54287E-2	-2.07702E+0	-1.40925E+0	-8.65140E-1
2.20007E+0	1.36232E-5	8.51450E-2	-9.60036E-1	-9.15605E-2	-5.72444E-1
2.40006E+0	1.76238E-5	1.10149E-1	-6.66708E-1	1.32451E-2	-5.61032E-1
2.60001E+0	2.27825E-5	1.42391E-1	-1.03525E+0	5.97123E-1	-1.21997E+0
2.80000E+0	2.93187E-5	1.83242E-1	-5.37810E-1	9.42034E-1	-8.78338E-1
2.99994E+0	3.78337E-5	2.36461E-1	-3.72150E-1	3.11382E-1	-8.40311E-1
3.19998E+0	4.85283E-5	3.03302E-1	-1.99117E-1	3.89920E-1	-6.15151E-1
3.39992E+0	6.23308E-5	3.89568E-1	-1.82610E-1	4.37434E-1	-7.69884E-1
3.59994E+0	8.07324E-5	5.04578E-1	-9.88695E-2	3.39419E-2	-5.71657E-1
3.79993E+0	1.11293E-4	6.95581E-1	-3.77158E-2	7.50491E-2	-3.17320E-1
3.99987E+0	1.43757E-4	8.98481E-1	-4.11362E-2	4.41672E-3	-4.70575E-1
4.19985E+0	1.97565E-4	1.23478E+0	2.20591E-2	1.92131E-1	3.64134E-1
4.39982E+0	2.55942E-4	1.59964E+0	4.02095E-2	9.81768E-2	9.00814E-1
4.59983E+0	3.57732E-4	2.23583E+0	4.57758E-2	1.42365E-1	1.49853E+0
4.80013E+0	4.69429E-4	2.93393E+0	3.49428E-2	4.64664E-2	1.56643E+0
5.00007E+0	5.69160E-4	3.55725E+0	4.85029E-2	9.06794E-2	2.74605E+0
5.20008E+0	6.63968E-4	4.14980E+0	4.08929E-2	4.99423E-2	2.80889E+0
5.40008E+0	8.01011E-4	5.00632E+0	4.65678E-2	6.15107E-2	4.00733E+0
5.60002E+0	9.63340E-4	6.02088E+0	4.82042E-2	6.86433E-2	5.17349E+0
5.80006E+0	1.09071E-3	6.81694E+0	6.07184E-2	5.28379E-2	7.64174E+0
6.00008E+0	1.26211E-3	7.88819E+0	5.35470E-2	5.20725E-2	8.06714E+0
6.20012E+0	1.42460E-3	8.90375E+0	5.85933E-2	6.05028E-2	1.02961E+1
6.40014E+0	1.61448E-3	1.00905E+1	6.14569E-2	5.55819E-2	1.26335E+1
6.60005E+0	1.81676E-3	1.13547E+1	6.39387E-2	7.01354E-2	1.52524E+1
6.80001E+0	2.04352E-3	1.27720E+1	6.56581E-2	6.83136E-2	1.81513E+1
6.99998E+0	2.30541E-3	1.44088E+1	6.52449E-2	7.05329E-2	2.09470E+1
7.20000E+0	2.60940E-3	1.63087E+1	6.41835E-2	6.15370E-2	2.39898E+1
7.39998E+0	2.94998E-3	1.84374E+1	6.41875E-2	7.24124E-2	2.78760E+1
7.59998E+0	3.30723E-3	2.06702E+1	6.49452E-2	7.37922E-2	3.24754E+1
7.79998E+0	3.70971E-3	2.31857E+1	6.51226E-2	7.39069E-2	3.74883E+1
7.99999E+0	4.14911E-3	2.59319E+1	6.43739E-2	7.54928E-2	4.25093E+1
8.19988E+0	4.61837E-3	2.88648E+1	6.31966E-2	7.70909E-2	4.76124E+1
8.40000E+0	5.14066E-3	3.21291E+1	6.27485E-2	7.75178E-2	5.39053E+1
8.59993E+0	5.68487E-3	3.55304E+1	6.14297E-2	7.86995E-2	5.97481E+1
8.79999E+0	6.26983E-3	3.91864E+1	6.00671E-2	7.59237E-2	6.59332E+1
8.99994E+0	6.88729E-3	4.30456E+1	5.85775E-2	7.67216E-2	7.22353E+1
9.19993E+0	7.54092E-3	4.71307E+1	5.81480E-2	7.86941E-2	8.02553E+1
9.39995E+0	8.23648E-3	5.14780E+1	5.66622E-2	7.79114E-2	8.72752E+1
9.60024E+0	8.96865E-3	5.60541E+1	5.55648E-2	7.73303E-2	9.51785E+1
9.80019E+0	9.73812E-3	6.08632E+1	5.50330E-2	8.20074E-2	1.04487E+2
1.00003E+1	1.05518E-2	6.59488E+1	5.42054E-2	8.02950E-2	1.13792E+2
1.02003E+1	1.14111E-2	7.13194E+1	5.30332E-2	7.98267E-2	1.22806E+2
1.04002E+1	1.23107E-2	7.69419E+1	5.19854E-2	8.14385E-2	1.32415E+2
1.06002E+1	1.32727E-2	8.29544E+1	5.11852E-2	8.08355E-2	1.43268E+2
1.08001E+1	1.42753E-2	8.92206E+1	5.00689E-2	8.32669E-2	1.53572E+2
1.10002E+1	1.53065E-2	9.56656E+1	4.91521E-2	8.21530E-2	1.64645E+2
1.12001E+1	1.63713E-2	1.02321E+2	4.82452E-2	8.10432E-2	1.75991E+2
1.14001E+1	1.74824E-2	1.09265E+2	4.72349E-2	8.06643E-2	1.87285E+2
1.16001E+1	1.86213E-2	1.16383E+2	4.66518E-2	8.09627E-2	2.00480E+2
1.18001E+1	1.98216E-2	1.23885E+2	4.59675E-2	8.14956E-2	2.13897E+2
